"gene_id","transcript_id","intron_length","exon_length"
"ENSG00000243485.5","ENST00000473358.1","832","712"
"ENSG00000243485.5","ENST00000469289.1","308","535"
"ENSG00000237613.2","ENST00000417324.1","341","1187"
"ENSG00000238009.6","ENST00000466430.5","28890","2748"
"ENSG00000238009.6","ENST00000610542.1","12276","723"
"ENSG00000239945.1","ENST00000495576.1","236","1319"
"ENSG00000239906.1","ENST00000493797.1","227","323"
"ENSG00000241860.7","ENST00000484859.1","3374","4860"
"ENSG00000241860.7","ENST00000466557.6","26176","1301"
"ENSG00000241860.7","ENST00000662089.1","2899","821"
"ENSG00000241599.1","ENST00000496488.1","623","457"
"ENSG00000286448.1","ENST00000669836.1","1065","736"
"ENSG00000236601.2","ENST00000635159.1","5002","994"
"ENSG00000235146.2","ENST00000423796.1","6533","607"
"ENSG00000229905.1","ENST00000422528.1","623","456"
"ENSG00000237491.10","ENST00000670700.1","29927","1378"
"ENSG00000237491.10","ENST00000429505.6","25310","1201"
"ENSG00000237491.10","ENST00000434264.6","5077","844"
"ENSG00000237491.10","ENST00000656571.1","30089","1167"
"ENSG00000237491.10","ENST00000443772.2","27632","1775"
"ENSG00000237491.10","ENST00000667728.1","553","2949"
"ENSG00000177757.2","ENST00000326734.2","520","1947"
"ENSG00000228794.10","ENST00000445118.7","25233","6616"
"ENSG00000228794.10","ENST00000670780.1","23093","8389"
"ENSG00000228794.10","ENST00000666741.1","26288","5483"
"ENSG00000228794.10","ENST00000608189.5","24790","1653"
"ENSG00000228794.10","ENST00000609009.6","24787","1932"
"ENSG00000228794.10","ENST00000657837.1","26641","2933"
"ENSG00000228794.10","ENST00000661237.1","24906","1771"
"ENSG00000225880.5","ENST00000473798.1",0,"1317"
"ENSG00000288531.1","ENST00000671208.1","3986","2509"
"ENSG00000288531.1","ENST00000661463.1","5906","2070"
"ENSG00000230368.2","ENST00000446136.1","7026","1807"
"ENSG00000230368.2","ENST00000432963.1","1458","504"
"ENSG00000272438.1","ENST00000607769.1","10792","351"
"ENSG00000230699.2","ENST00000448179.1","471","3043"
"ENSG00000241180.1","ENST00000398216.2","358","443"
"ENSG00000223764.2","ENST00000417705.1","1434","1389"
"ENSG00000272512.1","ENST00000606034.1",0,"2086"
"ENSG00000224969.1","ENST00000458555.1","726","471"
"ENSG00000242590.1","ENST00000418300.1","682","402"
"ENSG00000273443.1","ENST00000442292.2","252","829"
"ENSG00000285812.1","ENST00000648183.1","5919","1095"
"ENSG00000223823.1","ENST00000416774.1","5420","1620"
"ENSG00000272141.1","ENST00000606993.1",0,"987"
"ENSG00000205231.1","ENST00000379317.1","2968","3532"
"ENSG00000260179.1","ENST00000565563.1",0,"1558"
"ENSG00000230415.1","ENST00000434139.1","4930","268"
"ENSG00000230415.1","ENST00000453732.1","3768","389"
"ENSG00000240731.1","ENST00000444968.1","723","386"
"ENSG00000224870.7","ENST00000447725.2","592","1843"
"ENSG00000272455.1","ENST00000607307.1",0,"1523"
"ENSG00000225905.1","ENST00000428932.1","1904","543"
"ENSG00000225285.1","ENST00000430109.1","3525","510"
"ENSG00000225285.1","ENST00000417917.1","3223","634"
"ENSG00000215014.5","ENST00000647566.1","937","841"
"ENSG00000286989.1","ENST00000658591.1","560","1830"
"ENSG00000272106.1","ENST00000607222.1",0,"2038"
"ENSG00000272004.1","ENST00000607013.1","2878","400"
"ENSG00000268575.1","ENST00000598846.1","29874","5079"
"ENSG00000231050.1","ENST00000412228.1","282","906"
"ENSG00000233542.2","ENST00000443930.1","364","1954"
"ENSG00000233542.2","ENST00000659674.1","1094","977"
"ENSG00000226969.1","ENST00000449154.1","330","437"
"ENSG00000271806.1","ENST00000606533.1",0,"4196"
"ENSG00000182873.5","ENST00000333854.2","829","1253"
"ENSG00000182873.5","ENST00000444529.1","1033","622"
"ENSG00000234396.3","ENST00000442483.2","7890","326"
"ENSG00000287356.1","ENST00000659232.1","2252","4032"
"ENSG00000287356.1","ENST00000661319.1","2371","5675"
"ENSG00000272161.1","ENST00000607720.1",0,"493"
"ENSG00000272420.1","ENST00000607858.1",0,"568"
"ENSG00000224387.1","ENST00000424657.1","504","455"
"ENSG00000229393.1","ENST00000442305.1","529","514"
"ENSG00000272449.2","ENST00000644246.1","15866","1531"
"ENSG00000238164.6","ENST00000449660.5","558","1629"
"ENSG00000238164.6","ENST00000416860.2","3570","3522"
"ENSG00000238164.6","ENST00000432521.2","260","3608"
"ENSG00000238164.6","ENST00000452793.1","2222","569"
"ENSG00000228037.1","ENST00000424215.1","2348","626"
"ENSG00000237058.1","ENST00000427302.1","3680","373"
"ENSG00000285945.1","ENST00000648684.1","16050","593"
"ENSG00000283259.1","ENST00000638002.1","1306","1565"
"ENSG00000233234.1","ENST00000457440.1","236","607"
"ENSG00000287396.1","ENST00000664694.1","3049","663"
"ENSG00000231630.1","ENST00000429389.1","138","429"
"ENSG00000284745.1","ENST00000641229.1","1249","1509"
"ENSG00000177133.12","ENST00000321399.7","1946","2226"
"ENSG00000177133.12","ENST00000445317.1","4574","4247"
"ENSG00000177133.12","ENST00000667159.1","968","1275"
"ENSG00000226286.1","ENST00000440516.1","314","469"
"ENSG00000272235.1","ENST00000607061.1",0,"3461"
"ENSG00000287828.1","ENST00000669140.1","9370","728"
"ENSG00000286518.1","ENST00000665088.1","3330","2784"
