"chr","strand","gene_ID","transcript_ID","intron_ID","sj5start","sj5end","sj5_cov_nonsplit","sj5_cov_split","sj3start","sj3end","sj3_cov_nonsplit","sj3_cov_split","score","TC","exon"
"1","+","ENSG00000228794.10","ENST00000445118.7",1,827775,827776,0,40,829002,829003,0,40,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000445118.7",3,852110,852111,0,15,852670,852671,2,15,0.9375,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000670780.1",1,827775,827776,0,40,829002,829003,0,40,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000670780.1",5,852110,852111,0,15,852670,852671,2,15,0.9375,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000666741.1",1,827775,827776,0,40,829002,829003,0,40,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000666741.1",5,852110,852111,0,15,852670,852671,2,15,0.9375,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000608189.5",1,827775,827776,0,40,829002,829003,0,40,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000608189.5",6,852110,852111,0,15,852670,852671,2,15,0.9375,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000609009.6",1,827775,827776,0,40,829002,829003,0,40,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000609009.6",6,852110,852111,0,15,852670,852671,2,15,0.9375,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000657837.1",1,827775,827776,0,40,829002,829003,0,40,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000661237.1",1,827775,827776,0,40,829002,829003,0,40,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000661237.1",5,852110,852111,0,15,852670,852671,2,15,0.9375,"0.269230769230769","26"
"1","+","ENSG00000224870.7","ENST00000447725.2",1,1399689,1399690,9,11,1399980,1399981,11,0,0.354838709677419,"0.333333333333333","3"
"1","+","ENSG00000224870.7","ENST00000447725.2",2,1400303,1400304,6,14,1400604,1400605,2,15,0.783783783783784,"0.333333333333333","3"
"1","-","ENSG00000268575.1","ENST00000598846.1",4,1721595,1721596,0,18,1719455,1719456,0,18,1,"0.2","5"
"1","-","ENSG00000268575.1","ENST00000598846.1",10,1708793,1708794,0,18,1708245,1708246,0,18,1,"0.2","5"
"1","-","ENSG00000268575.1","ENST00000598846.1",11,1708179,1708180,0,37,1707584,1707585,0,34,1,"0.2","5"
"1","-","ENSG00000268575.1","ENST00000598846.1",13,1705641,1705642,2,41,1705025,1705026,0,41,0.976190476190476,"0.2","5"
"1","-","ENSG00000268575.1","ENST00000598846.1",14,1704903,1704904,3,31,1704655,1704656,1,32,0.940298507462687,"0.2","5"
"1","-","ENSG00000268575.1","ENST00000598846.1",15,1704549,1704550,4,27,1704344,1704345,5,27,0.857142857142857,"0.2","5"
"1","-","ENSG00000268575.1","ENST00000598846.1",17,1703823,1703824,1,28,1703624,1703625,5,28,0.903225806451613,"0.2","5"
"1","-","ENSG00000268575.1","ENST00000598846.1",18,1703475,1703476,1,32,1703269,1703270,1,32,0.96969696969697,"0.2","5"
"1","-","ENSG00000268575.1","ENST00000598846.1",19,1703079,1703080,0,12,1702999,1703000,0,12,1,"0.2","5"
"1","-","ENSG00000231789.2","ENST00000415330.2",1,9687334,9687335,3,14,9681135,9681136,0,13,0.9,"0.333333333333333","3"
"1","+","ENSG00000223989.1","ENST00000454104.1",1,9848466,9848467,59,0,9849368,9849369,55,0,0,"0.333333333333333","3"
"1","+","ENSG00000223989.1","ENST00000454104.1",2,9849474,9849475,54,0,9849985,9849986,32,0,0,"0.333333333333333","3"
"1","+","ENSG00000227751.1","ENST00000439577.1",1,17407004,17407005,125,0,17407316,17407317,165,0,0,"0.5","2"
"1","-","ENSG00000228172.5","ENST00000442055.5",3,25817561,25817562,34,0,25816880,25816881,16,0,0,"0.375","8"
"1","-","ENSG00000228172.5","ENST00000453649.1",3,25817561,25817562,34,0,25816880,25816881,16,0,0,"0.375","8"
"1","-","ENSG00000197989.14","ENST00000531126.6",1,28581589,28581590,1,40,28581229,28581230,2,39,0.963414634146341,"0.368421052631579","19"
"1","-","ENSG00000197989.14","ENST00000648127.1",1,28581589,28581590,1,40,28581229,28581230,2,39,0.963414634146341,"0.368421052631579","19"
"1","-","ENSG00000197989.14","ENST00000475441.6",1,28581589,28581590,1,40,28581229,28581230,2,39,0.963414634146341,"0.368421052631579","19"
"1","-","ENSG00000197989.14","ENST00000483436.5",1,28581589,28581590,1,40,28581229,28581230,2,39,0.963414634146341,"0.368421052631579","19"
"1","-","ENSG00000197989.14","ENST00000650239.1",1,28581589,28581590,1,40,28581229,28581230,2,39,0.963414634146341,"0.368421052631579","19"
"1","+","ENSG00000230955.1","ENST00000419993.1",1,37861091,37861092,12,0,37861494,37861495,17,0,0,"0.5","2"
"1","-","ENSG00000273637.1","ENST00000622355.1",3,38873017,38873018,1,43,38867610,38867611,0,43,0.988505747126437,"0.142857142857143","7"
"1","-","ENSG00000273637.1","ENST00000622355.1",4,38867561,38867562,0,28,38867009,38867010,0,27,1,"0.142857142857143","7"
"1","-","ENSG00000273637.1","ENST00000622355.1",7,38856878,38856879,1,30,38855907,38855908,0,30,0.983606557377049,"0.142857142857143","7"
"1","-","ENSG00000273637.1","ENST00000622355.1",8,38855707,38855708,1,57,38852488,38852489,0,57,0.991304347826087,"0.142857142857143","7"
"1","-","ENSG00000273637.1","ENST00000622355.1",9,38852373,38852374,0,30,38851757,38851758,0,29,1,"0.142857142857143","7"
"1","-","ENSG00000273637.1","ENST00000622355.1",10,38851614,38851615,2,41,38846087,38846088,0,41,0.976190476190476,"0.142857142857143","7"
"1","-","ENSG00000273637.1","ENST00000622355.1",11,38845938,38845939,1,33,38839704,38839705,1,33,0.970588235294118,"0.142857142857143","7"
"1","-","ENSG00000228192.8","ENST00000659750.1",2,42844510,42844511,12,1,42843450,42843451,27,1,0.0487804878048781,"0.2","5"
"1","-","ENSG00000236200.6","ENST00000663424.1",1,43707058,43707059,7,4,43704457,43704458,32,4,0.170212765957447,"0.285714285714286","7"
"1","-","ENSG00000236200.6","ENST00000659644.1",1,43707058,43707059,7,4,43704457,43704458,32,4,0.170212765957447,"0.285714285714286","7"
"1","-","ENSG00000236723.2","ENST00000452466.1",1,53213340,53213341,11,2,53210544,53210545,22,0,0.0571428571428571,"0.5","2"
"1","+","ENSG00000287453.1","ENST00000662276.1",1,69551943,69551944,0,14,69555417,69555418,0,11,1,"0.166666666666667","6"
"1","+","ENSG00000287453.1","ENST00000662276.1",2,69555465,69555466,0,10,69556935,69556936,2,10,0.909090909090909,"0.166666666666667","6"
"1","-","ENSG00000285851.1","ENST00000649871.1",2,84501825,84501826,3,37,84498548,84498549,0,37,0.961038961038961,"0.5","2"
"1","+","ENSG00000237188.5","ENST00000650785.1",3,147252735,147252736,0,30,147254869,147254870,0,34,1,"0.115384615384615","26"
"1","+","ENSG00000237188.5","ENST00000650785.1",4,147254976,147254977,0,34,147255812,147255813,0,36,1,"0.115384615384615","26"
"1","+","ENSG00000237188.5","ENST00000650785.1",5,147255927,147255928,0,32,147256530,147256531,0,31,1,"0.115384615384615","26"
"1","+","ENSG00000237188.5","ENST00000650785.1",6,147256562,147256563,0,27,147259836,147259837,0,27,1,"0.115384615384615","26"
"1","+","ENSG00000237188.5","ENST00000650785.1",7,147259918,147259919,0,31,147264421,147264422,0,31,1,"0.115384615384615","26"
"1","+","ENSG00000237188.5","ENST00000650785.1",8,147264584,147264585,0,28,147265931,147265932,0,28,1,"0.115384615384615","26"
"1","+","ENSG00000237188.5","ENST00000650785.1",9,147266087,147266088,0,27,147267425,147267426,0,27,1,"0.115384615384615","26"
"1","+","ENSG00000237188.5","ENST00000650785.1",11,147272281,147272282,1,53,147275353,147275354,1,54,0.981651376146789,"0.115384615384615","26"
"1","+","ENSG00000237188.5","ENST00000650785.1",12,147275468,147275469,0,42,147276103,147276104,0,42,1,"0.115384615384615","26"
"1","+","ENSG00000237188.5","ENST00000650785.1",13,147276257,147276258,1,18,147280025,147280026,0,18,0.972972972972973,"0.115384615384615","26"
