"Gene","Gene_length","Transcript","Exon","A3","A5","AF","AL","MX","RI","SE"
"ENSG00000243485.5",1555,2,5,"0","0","0","0","0","0","0"
"ENSG00000237613.2",1527,1,3,"0","0","0","0","0","0","0"
"ENSG00000238009.6",44428,2,8,"0","0","0","0","0","0","0"
"ENSG00000239945.1",1554,1,2,"0","0","0","0","0","0","0"
"ENSG00000239906.1",549,1,2,"0","0","0","0","0","0","0"
"ENSG00000241860.7",32388,3,13,"0","1","0","0","0","0","0"
"ENSG00000241599.1",1079,1,2,"0","0","0","0","0","0","0"
"ENSG00000286448.1",1800,1,2,"0","0","0","0","0","0","0"
"ENSG00000236601.2",7195,1,2,"0","0","0","0","0","0","0"
"ENSG00000235146.2",7139,1,2,"0","0","0","0","0","0","0"
"ENSG00000229905.1",1078,1,2,"0","0","0","0","0","0","0"
"ENSG00000237491.10",31318,6,20,"2","0","1","1","0","0","2"
"ENSG00000177757.2",2466,1,2,"0","0","0","0","0","0","0"
"ENSG00000228794.10",34308,7,26,"1","1","0","0","5","0","1"
"ENSG00000225880.5",1316,1,1,"0","0","0","0","0","0","0"
"ENSG00000288531.1",7976,2,5,"0","0","0","0","0","0","0"
"ENSG00000230368.2",8832,2,7,"0","0","0","0","0","0","0"
"ENSG00000272438.1",11142,1,2,"0","0","0","0","0","0","0"
"ENSG00000230699.2",3513,1,2,"0","0","0","0","0","0","0"
"ENSG00000241180.1",800,1,2,"0","0","0","0","0","0","0"
"ENSG00000223764.2",4151,1,4,"0","0","0","0","0","0","0"
"ENSG00000272512.1",2085,1,1,"0","0","0","0","0","0","0"
"ENSG00000224969.1",1196,1,2,"0","0","0","0","0","0","0"
"ENSG00000242590.1",1083,1,2,"0","0","0","0","0","0","0"
"ENSG00000273443.1",1080,1,2,"0","0","0","0","0","0","0"
"ENSG00000285812.1",7013,1,2,"0","0","0","0","0","0","0"
"ENSG00000223823.1",7039,1,3,"0","0","0","0","0","0","0"
"ENSG00000272141.1",986,1,1,"0","0","0","0","0","0","0"
"ENSG00000205231.1",6499,1,2,"0","0","0","0","0","0","0"
"ENSG00000260179.1",1557,1,1,"0","0","0","0","0","0","0"
