"gene_id","transcript_id","intron_length","exon_length"
"ENSMUSG00000051951.6","ENSMUST00000070533.5","453383","3634"
"ENSMUSG00000025900.14","ENSMUST00000208660.2","405515","4170"
"ENSMUSG00000025900.14","ENSMUST00000027032.6","9300","6869"
"ENSMUSG00000025902.14","ENSMUST00000027035.10","2356","3127"
"ENSMUSG00000025902.14","ENSMUST00000195555.2","3531","1977"
"ENSMUSG00000025902.14","ENSMUST00000192650.6","2723","3242"
"ENSMUSG00000025902.14","ENSMUST00000116652.8","3139","1512"
"ENSMUSG00000033845.14","ENSMUST00000130201.8","10611","1894"
"ENSMUSG00000033845.14","ENSMUST00000156816.7","8326","4203"
"ENSMUSG00000033845.14","ENSMUST00000146665.3","2950","1569"
"ENSMUSG00000025903.15","ENSMUST00000027036.11","36410","2507"
"ENSMUSG00000025903.15","ENSMUST00000150971.8","32580","877"
"ENSMUSG00000025903.15","ENSMUST00000119612.9","36750","529"
"ENSMUSG00000025903.15","ENSMUST00000115529.8","36512","930"
"ENSMUSG00000104217.2","ENSMUST00000155020.2","78054","825"
"ENSMUSG00000033813.16","ENSMUST00000081551.14","37545","2547"
"ENSMUSG00000033813.16","ENSMUST00000165720.3","37018","2854"
"ENSMUSG00000002459.18","ENSMUST00000002533.15","108186","1778"
"ENSMUSG00000002459.18","ENSMUST00000118000.8","158585","2125"
"ENSMUSG00000002459.18","ENSMUST00000119256.8","107451","883"
"ENSMUSG00000033793.13","ENSMUST00000192847.6","90661","1662"
"ENSMUSG00000033793.13","ENSMUST00000044369.13","77401","2049"
"ENSMUSG00000033793.13","ENSMUST00000192698.3","77455","1811"
"ENSMUSG00000025905.15","ENSMUST00000160777.8","12964","4675"
"ENSMUSG00000025905.15","ENSMUST00000239100.2","12964","4675"
"ENSMUSG00000025905.15","ENSMUST00000027038.11","12934","1376"
"ENSMUSG00000025905.15","ENSMUST00000160339.2","12593","2481"
"ENSMUSG00000033774.5","ENSMUST00000044180.5",0,"3692"
"ENSMUSG00000025907.15","ENSMUST00000027040.13","54397","7607"
"ENSMUSG00000087247.4","ENSMUST00000133144.4","34543","971"
"ENSMUSG00000033740.18","ENSMUST00000140079.8","367812","5892"
"ENSMUSG00000033740.18","ENSMUST00000131494.8","367890","5720"
"ENSMUSG00000033740.18","ENSMUST00000043578.13","125028","5862"
"ENSMUSG00000033740.18","ENSMUST00000150761.8","125106","4264"
"ENSMUSG00000033740.18","ENSMUST00000151281.8","125179","3533"
"ENSMUSG00000033740.18","ENSMUST00000163727.4","117762","5604"
"ENSMUSG00000051285.18","ENSMUST00000061280.17","79477","5232"
"ENSMUSG00000025909.17","ENSMUST00000132064.8","932935","4165"
"ENSMUSG00000025909.17","ENSMUST00000191683.6","932881","4510"
"ENSMUSG00000025909.17","ENSMUST00000140295.8","932878","4887"
"ENSMUSG00000025909.17","ENSMUST00000115488.3","438915","1554"
"ENSMUSG00000061024.9","ENSMUST00000072079.9",0,"2048"
"ENSMUSG00000025911.15","ENSMUST00000144177.8","26784","3239"
"ENSMUSG00000067879.4","ENSMUST00000088666.4","22689","3256"
"ENSMUSG00000025912.17","ENSMUST00000088658.11","27815","4980"
"ENSMUSG00000025912.17","ENSMUST00000115468.9","27995","2493"
"ENSMUSG00000045210.9","ENSMUST00000057438.7","20012","9749"
"ENSMUSG00000025915.15","ENSMUST00000166384.8","99031","3706"
"ENSMUSG00000025915.15","ENSMUST00000168907.8","98924","3779"
"ENSMUSG00000025915.15","ENSMUST00000171265.8","48892","3680"
"ENSMUSG00000025915.15","ENSMUST00000097826.6","48729","2728"
"ENSMUSG00000046101.17","ENSMUST00000052843.12","11062","2826"
"ENSMUSG00000046101.17","ENSMUST00000171802.8","29764","2553"
"ENSMUSG00000046101.17","ENSMUST00000125294.9","29782","2003"
"ENSMUSG00000046101.17","ENSMUST00000140948.9","30167","3249"
"ENSMUSG00000046101.17","ENSMUST00000118098.3","7881","2072"
"ENSMUSG00000099032.3","ENSMUST00000185184.2","3577","4193"
"ENSMUSG00000099032.3","ENSMUST00000097824.3",0,"2639"
"ENSMUSG00000025916.11","ENSMUST00000027049.10","39088","1425"
"ENSMUSG00000025917.10","ENSMUST00000027050.10","11829","1698"
"ENSMUSG00000056763.17","ENSMUST00000071087.12","94197","4355"
"ENSMUSG00000056763.17","ENSMUST00000117415.8","27585","1272"
"ENSMUSG00000056763.17","ENSMUST00000118263.8","26042","2162"
"ENSMUSG00000056763.17","ENSMUST00000122156.8","26026","2535"
"ENSMUSG00000056763.17","ENSMUST00000119714.8","26050","1268"
"ENSMUSG00000056763.17","ENSMUST00000186294.7","86224","3429"
"ENSMUSG00000067851.12","ENSMUST00000088615.11","88122","6978"
"ENSMUSG00000067851.12","ENSMUST00000131556.2","56172","3424"
"ENSMUSG00000042501.13","ENSMUST00000035577.7","393287","1932"
"ENSMUSG00000048960.14","ENSMUST00000027056.12","299164","11053"
"ENSMUSG00000057715.14","ENSMUST00000171690.9","181549","6158"
"ENSMUSG00000057715.14","ENSMUST00000048613.14","559018","2779"
"ENSMUSG00000057715.14","ENSMUST00000135014.8","180902","6451"
"ENSMUSG00000057715.14","ENSMUST00000137824.8","559009","1880"
"ENSMUSG00000057715.14","ENSMUST00000179089.8","559057","1832"
"ENSMUSG00000016918.16","ENSMUST00000177608.8","163318","5598"
"ENSMUSG00000016918.16","ENSMUST00000180062.8","163413","4636"
"ENSMUSG00000016918.16","ENSMUST00000186051.7","155395","4563"
"ENSMUSG00000016918.16","ENSMUST00000088585.10","137219","4630"
"ENSMUSG00000025938.17","ENSMUST00000188454.7","117639","8463"
"ENSMUSG00000025938.17","ENSMUST00000115403.9","116075","8509"
"ENSMUSG00000025938.17","ENSMUST00000115402.8","116140","3690"
"ENSMUSG00000025938.17","ENSMUST00000136197.8","107418","5123"
"ENSMUSG00000025938.17","ENSMUST00000146763.8","107795","3437"
"ENSMUSG00000025938.17","ENSMUST00000147606.3","107617","3615"
"ENSMUSG00000042414.8","ENSMUST00000047577.7","11143","2564"
"ENSMUSG00000005886.15","ENSMUST00000081713.11","225164","8171"
"ENSMUSG00000005886.15","ENSMUST00000068304.13","226919","8006"
"ENSMUSG00000005886.15","ENSMUST00000006037.13","226712","4897"
"ENSMUSG00000025935.11","ENSMUST00000027068.11","22275","2938"
"ENSMUSG00000025937.7","ENSMUST00000027071.7","32723","4494"
"ENSMUSG00000067813.4","ENSMUST00000088542.4","31027","1926"
"ENSMUSG00000025932.15","ENSMUST00000027066.13","136900","4347"
"ENSMUSG00000025932.15","ENSMUST00000168081.9","136912","4366"
"ENSMUSG00000025932.15","ENSMUST00000080664.14","137028","3426"
"ENSMUSG00000025932.15","ENSMUST00000190337.7","131729","2199"
"ENSMUSG00000025930.7","ENSMUST00000027062.7","904","1741"
"ENSMUSG00000032769.6","ENSMUST00000041447.5","41952","4263"
"ENSMUSG00000032769.6","ENSMUST00000235071.2","42042","3288"
"ENSMUSG00000092083.5","ENSMUST00000175681.3","421332","3963"
"ENSMUSG00000092083.5","ENSMUST00000170146.3","396454","14845"
"ENSMUSG00000025925.15","ENSMUST00000188371.7","36139","2268"
"ENSMUSG00000025925.15","ENSMUST00000027057.8","36226","1581"
"ENSMUSG00000032719.5","ENSMUST00000040695.5","36113","2748"
"ENSMUSG00000067795.14","ENSMUST00000115367.8","14366","868"
"ENSMUSG00000067795.14","ENSMUST00000145070.8","25503","1844"
"ENSMUSG00000067795.14","ENSMUST00000151004.2","26346","1001"
"ENSMUSG00000043716.14","ENSMUST00000058437.14","2205","1163"
"ENSMUSG00000025921.8","ENSMUST00000027053.8","24374","3587"
"ENSMUSG00000025920.20","ENSMUST00000162751.8","287603","3030"
"ENSMUSG00000025920.20","ENSMUST00000054668.13","287521","2907"
"ENSMUSG00000025920.20","ENSMUST00000162627.8","287652","2773"
"ENSMUSG00000025920.20","ENSMUST00000027052.13","287734","2763"
"ENSMUSG00000025920.20","ENSMUST00000162435.8","288562","2735"
"ENSMUSG00000025920.20","ENSMUST00000159558.8","171904","3901"
"ENSMUSG00000025920.20","ENSMUST00000128957.9","171855","3907"
"ENSMUSG00000025920.20","ENSMUST00000131257.9","172881","3616"
"ENSMUSG00000025920.20","ENSMUST00000162007.8","171986","2964"
"ENSMUSG00000025920.20","ENSMUST00000149320.9","171500","2214"
"ENSMUSG00000025920.20","ENSMUST00000115359.10","58395","1151"
"ENSMUSG00000025920.20","ENSMUST00000145092.8","59354","564"
"ENSMUSG00000025920.20","ENSMUST00000144138.4","59223","585"
"ENSMUSG00000025939.20","ENSMUST00000182554.9","77015","1508"
"ENSMUSG00000025939.20","ENSMUST00000117146.9","47527","2181"
"ENSMUSG00000079658.10","ENSMUST00000188641.7","13146","2014"
"ENSMUSG00000079658.10","ENSMUST00000115352.10","13316","960"
"ENSMUSG00000079658.10","ENSMUST00000186948.7","13236","641"
"ENSMUSG00000079658.10","ENSMUST00000187910.7","13250","620"
"ENSMUSG00000079658.10","ENSMUST00000185771.7","12982","742"
"ENSMUSG00000025940.7","ENSMUST00000177501.2","11353","1636"
"ENSMUSG00000025940.7","ENSMUST00000065373.6","11356","1710"
"ENSMUSG00000025779.11","ENSMUST00000026881.11","20547","632"
"ENSMUSG00000025779.11","ENSMUST00000190366.2","20601","429"
"ENSMUSG00000042686.6","ENSMUST00000038382.5","98143","4809"
"ENSMUSG00000025777.9","ENSMUST00000026879.8","14961","3949"
"ENSMUSG00000067780.4","ENSMUST00000088476.4","22116","6923"
"ENSMUSG00000025776.14","ENSMUST00000159958.8","35414","3117"
"ENSMUSG00000025776.14","ENSMUST00000095075.5","34785","4472"
"ENSMUSG00000025774.15","ENSMUST00000026876.13","29460","1252"
"ENSMUSG00000025774.15","ENSMUST00000115340.8","20669","1179"
"ENSMUSG00000025774.15","ENSMUST00000115344.2","29343","960"
"ENSMUSG00000073735.2","ENSMUST00000097818.2","713","258"
"ENSMUSG00000067773.7","ENSMUST00000088463.2","13692","467"
"ENSMUSG00000067773.7","ENSMUST00000097817.4","4359","198"
"ENSMUSG00000042596.8","ENSMUST00000037294.8","61564","1761"
"ENSMUSG00000025927.14","ENSMUST00000027059.11","23800","5863"
"ENSMUSG00000025927.14","ENSMUST00000187754.7","26101","3023"
"ENSMUSG00000025927.14","ENSMUST00000064976.6","20625","1946"
"ENSMUSG00000043760.17","ENSMUST00000088448.12","547351","12935"
"ENSMUSG00000025929.5","ENSMUST00000027061.5","2421","1171"
"ENSMUSG00000041872.10","ENSMUST00000039046.10","5947","1178"
"ENSMUSG00000041859.11","ENSMUST00000053266.11","14314","3031"
"ENSMUSG00000025931.16","ENSMUST00000189400.7","43715","5330"
"ENSMUSG00000025931.16","ENSMUST00000068880.14","16512","4704"
"ENSMUSG00000025931.16","ENSMUST00000167119.8","16404","1472"
"ENSMUSG00000025931.16","ENSMUST00000187651.2","12035","1463"
"ENSMUSG00000041809.6","ENSMUST00000038447.6","37008","2146"
"ENSMUSG00000041779.6","ENSMUST00000037998.6","76439","6492"
"ENSMUSG00000025933.16","ENSMUST00000027065.12","10425","1168"
"ENSMUSG00000025933.16","ENSMUST00000027064.8","10242","1261"
"ENSMUSG00000025934.16","ENSMUST00000027067.15","23616","1457"
"ENSMUSG00000025934.16","ENSMUST00000121676.8","23521","894"
"ENSMUSG00000067750.4","ENSMUST00000088407.4","573","1987"
"ENSMUSG00000041722.8","ENSMUST00000070223.6","569","1946"
"ENSMUSG00000085079.4","ENSMUST00000147615.2","582","2236"
"ENSMUSG00000028033.17","ENSMUST00000029667.13","556617","6562"
"ENSMUSG00000028033.17","ENSMUST00000115300.8","556560","6975"
"ENSMUSG00000028033.17","ENSMUST00000173058.8","556947","2472"
"ENSMUSG00000028033.17","ENSMUST00000173404.2","556644","2775"
"ENSMUSG00000041670.20","ENSMUST00000081544.14","481726","6605"
"ENSMUSG00000041670.20","ENSMUST00000097809.11","481159","7172"
"ENSMUSG00000041670.20","ENSMUST00000115273.10","481318","7411"
"ENSMUSG00000041670.20","ENSMUST00000164877.8","26597","2294"
"ENSMUSG00000041670.20","ENSMUST00000097808.9","481234","4926"
"ENSMUSG00000073730.3","ENSMUST00000073179.6",0,"1781"
"ENSMUSG00000026158.12","ENSMUST00000027343.6","11908","4844"
"ENSMUSG00000026156.9","ENSMUST00000144602.2","52500","1488"
"ENSMUSG00000026156.9","ENSMUST00000063663.6","81578","5655"
"ENSMUSG00000026156.9","ENSMUST00000140583.2","51992","1737"
"ENSMUSG00000026155.14","ENSMUST00000027339.14","74404","2289"
"ENSMUSG00000026155.14","ENSMUST00000129254.8","62029","1365"
"ENSMUSG00000026154.5","ENSMUST00000027338.4","9035","683"
"ENSMUSG00000026153.16","ENSMUST00000187752.7","83756","5194"
"ENSMUSG00000026153.16","ENSMUST00000187369.7","83616","4976"
"ENSMUSG00000026153.16","ENSMUST00000027337.15","83117","5536"
"ENSMUSG00000026147.17","ENSMUST00000054588.15","71241","3834"
"ENSMUSG00000026147.17","ENSMUST00000088349.3","54439","3059"
"ENSMUSG00000026141.14","ENSMUST00000115244.9","319213","4266"
"ENSMUSG00000026141.14","ENSMUST00000051344.6","304306","3336"
"ENSMUSG00000073725.9","ENSMUST00000191471.7","82366","4453"
"ENSMUSG00000073725.9","ENSMUST00000186096.7","27704","688"
"ENSMUSG00000073725.9","ENSMUST00000095062.10","82148","5228"
"ENSMUSG00000033569.18","ENSMUST00000126626.8","158398","2953"
"ENSMUSG00000033569.18","ENSMUST00000135518.8","756530","5432"
"ENSMUSG00000033569.18","ENSMUST00000151309.8","756710","5448"
"ENSMUSG00000033569.18","ENSMUST00000041838.7","754024","5059"
"ENSMUSG00000073722.4","ENSMUST00000097801.4","1329","4318"
"ENSMUSG00000048411.5","ENSMUST00000059937.5","1249","2887"
"ENSMUSG00000048874.16","ENSMUST00000186733.7","63676","7567"
"ENSMUSG00000048874.16","ENSMUST00000088310.10","53354","7561"
"ENSMUSG00000026064.17","ENSMUST00000232841.2","4772","4236"
"ENSMUSG00000117310.3","ENSMUST00000233506.2","5324","4145"
"ENSMUSG00000117310.3","ENSMUST00000027232.15","5324","4129"
"ENSMUSG00000117310.3","ENSMUST00000076587.6","5327","2851"
"ENSMUSG00000117310.3","ENSMUST00000238874.2",0,"108"
"ENSMUSG00000117091.2","ENSMUST00000178317.4",0,"726"
"ENSMUSG00000086727.9","ENSMUST00000233331.2","223011","1765"
"ENSMUSG00000086727.9","ENSMUST00000152491.4","875","1163"
"ENSMUSG00000086727.9","ENSMUST00000187892.8","223014","1717"
"ENSMUSG00000050217.14","ENSMUST00000062560.14","26388","1937"
"ENSMUSG00000026063.5","ENSMUST00000027230.3",0,"1451"
"ENSMUSG00000026058.12","ENSMUST00000027226.12","483574","2281"
"ENSMUSG00000026058.12","ENSMUST00000189878.2","70891","3259"
"ENSMUSG00000026058.12","ENSMUST00000188257.7","160329","5278"
"ENSMUSG00000026058.12","ENSMUST00000185666.2","137661","543"
"ENSMUSG00000091318.3","ENSMUST00000171322.3",0,"3609"
"ENSMUSG00000026134.12","ENSMUST00000027312.11","214011","1975"
"ENSMUSG00000004768.15","ENSMUST00000088287.10","18348","4322"
"ENSMUSG00000004768.15","ENSMUST00000115174.4","17937","4218"
"ENSMUSG00000042215.9","ENSMUST00000044691.9","10452","1860"
"ENSMUSG00000042215.9","ENSMUST00000187602.2","10562","378"
"ENSMUSG00000042197.14","ENSMUST00000019861.13","49025","3958"
"ENSMUSG00000042197.14","ENSMUST00000044455.8","10559","11876"
"ENSMUSG00000042182.17","ENSMUST00000115161.8","53486","2231"
"ENSMUSG00000042182.17","ENSMUST00000129464.8","53990","1750"
"ENSMUSG00000042182.17","ENSMUST00000062289.11","53278","2487"
"ENSMUSG00000026131.21","ENSMUST00000183034.5","376167","23201"
"ENSMUSG00000026131.21","ENSMUST00000182697.8","128550","2704"
"ENSMUSG00000026131.21","ENSMUST00000182314.8","128368","2643"
"ENSMUSG00000026131.21","ENSMUST00000097786.10","279628","17212"
"ENSMUSG00000026131.21","ENSMUST00000115104.10","273547","23279"
"ENSMUSG00000026131.21","ENSMUST00000097785.10","273586","23251"
"ENSMUSG00000026131.21","ENSMUST00000183302.6","14787","8788"
"ENSMUSG00000026131.21","ENSMUST00000185269.7","131735","16340"
"ENSMUSG00000042111.10","ENSMUST00000042493.10","1298","1705"
"ENSMUSG00000026127.14","ENSMUST00000027303.14","3670","5836"
"ENSMUSG00000026126.16","ENSMUST00000027302.14","12461","1559"
"ENSMUSG00000026126.16","ENSMUST00000188972.3","2600","414"
"ENSMUSG00000026125.10","ENSMUST00000027299.10","3387","1267"
"ENSMUSG00000026124.5","ENSMUST00000027298.5","7626","1040"
"ENSMUSG00000037529.14","ENSMUST00000047840.9","7312","1275"
"ENSMUSG00000045174.11","ENSMUST00000052670.11","6896","4392"
"ENSMUSG00000037509.22","ENSMUST00000159747.9","128038","6514"
"ENSMUSG00000037509.22","ENSMUST00000047664.16","8319","3287"
"ENSMUSG00000118272.2","ENSMUST00000211073.2",0,"171"
"ENSMUSG00000037503.13","ENSMUST00000167518.8","24774","5058"
"ENSMUSG00000037503.13","ENSMUST00000047534.12","24810","5030"
"ENSMUSG00000037503.13","ENSMUST00000170092.8","24789","941"
"ENSMUSG00000037503.13","ENSMUST00000191307.7","24182","844"
"ENSMUSG00000026123.12","ENSMUST00000156687.8","18805","5176"
"ENSMUSG00000026123.12","ENSMUST00000027297.11","26310","3279"
"ENSMUSG00000045216.8","ENSMUST00000088174.4","34328","3719"
"ENSMUSG00000037470.15","ENSMUST00000046875.14","95246","9033"
"ENSMUSG00000047180.9","ENSMUST00000056946.8","6241","2598"
"ENSMUSG00000047180.9","ENSMUST00000188666.3","4613","1206"
"ENSMUSG00000037447.17","ENSMUST00000097778.9","10503","2270"
"ENSMUSG00000037447.17","ENSMUST00000115031.8","10316","3002"
"ENSMUSG00000037447.17","ENSMUST00000115032.8","10598","4640"
"ENSMUSG00000037447.17","ENSMUST00000137906.2","10772","5504"
"ENSMUSG00000037447.17","ENSMUST00000115029.2","10891","4329"
"ENSMUSG00000010453.13","ENSMUST00000185912.7","28901","4527"
"ENSMUSG00000010453.13","ENSMUST00000010597.10","28789","4663"
"ENSMUSG00000010453.13","ENSMUST00000186470.2","27641","2801"
"ENSMUSG00000010453.13","ENSMUST00000187628.2","2078","336"
"ENSMUSG00000037432.16","ENSMUST00000179162.7","43502","6315"
"ENSMUSG00000001143.14","ENSMUST00000125304.8","19829","3378"
"ENSMUSG00000001143.14","ENSMUST00000115011.8","19796","2290"
"ENSMUSG00000037408.11","ENSMUST00000153128.2","32598","4547"
"ENSMUSG00000001138.14","ENSMUST00000001166.14","11178","5193"
"ENSMUSG00000001138.14","ENSMUST00000097776.4","11079","5292"
"ENSMUSG00000067653.13","ENSMUST00000193083.6","4057","2277"
"ENSMUSG00000067653.13","ENSMUST00000054665.10","3242","1964"
"ENSMUSG00000067653.13","ENSMUST00000194853.3","3341","1073"
"ENSMUSG00000109510.2","ENSMUST00000191849.6","6910","2256"
"ENSMUSG00000079610.10","ENSMUST00000001172.12","7243","2109"
"ENSMUSG00000079610.10","ENSMUST00000194894.4","7208","664"
"ENSMUSG00000026121.14","ENSMUST00000191677.6","5932","3779"
"ENSMUSG00000026121.14","ENSMUST00000191642.6","4993","3892"
"ENSMUSG00000026121.14","ENSMUST00000195620.6","5276","3640"
"ENSMUSG00000026121.14","ENSMUST00000114991.8","5935","3773"
"ENSMUSG00000046337.18","ENSMUST00000170295.8","118206","2286"
"ENSMUSG00000046337.18","ENSMUST00000114981.3","81549","1659"
"ENSMUSG00000061518.12","ENSMUST00000081180.7","1313","625"
"ENSMUSG00000061518.12","ENSMUST00000193210.6","1333","865"
"ENSMUSG00000037351.10","ENSMUST00000043951.10","8647","3248"
"ENSMUSG00000102416.5","ENSMUST00000208994.2","42296","1120"
"ENSMUSG00000026117.11","ENSMUST00000027291.7","18776","2245"
"ENSMUSG00000026116.12","ENSMUST00000027290.12","140791","6546"
"ENSMUSG00000026116.12","ENSMUST00000194563.6","140931","6698"
"ENSMUSG00000050122.20","ENSMUST00000117172.9","48765","1636"
"ENSMUSG00000050122.20","ENSMUST00000067178.14","45911","1769"
"ENSMUSG00000050122.20","ENSMUST00000238500.2","153558","4717"
"ENSMUSG00000050122.20","ENSMUST00000162449.7","45982","1360"
"ENSMUSG00000050122.20","ENSMUST00000169057.3","32258","1499"
"ENSMUSG00000026114.15","ENSMUST00000195272.6","41609","2197"
"ENSMUSG00000026114.15","ENSMUST00000194195.6","41723","2083"
"ENSMUSG00000026114.15","ENSMUST00000027288.10","40626","3554"
"ENSMUSG00000026113.18","ENSMUST00000027287.11","105155","5691"
"ENSMUSG00000026113.18","ENSMUST00000140264.8","95967","3676"
"ENSMUSG00000026113.18","ENSMUST00000132401.8","104748","3234"
"ENSMUSG00000026113.18","ENSMUST00000136846.8","104850","3576"
"ENSMUSG00000026113.18","ENSMUST00000132615.8","43256","3038"
"ENSMUSG00000026113.18","ENSMUST00000193774.6","49830","1243"
"ENSMUSG00000026113.18","ENSMUST00000137266.8","47407","2934"
"ENSMUSG00000026113.18","ENSMUST00000058307.15","32255","2963"
"ENSMUSG00000026113.18","ENSMUST00000114933.9","32222","3004"
"ENSMUSG00000026113.18","ENSMUST00000168546.3","32255","2964"
"ENSMUSG00000026112.8","ENSMUST00000027286.7","9157","3863"
"ENSMUSG00000026111.16","ENSMUST00000114925.10","7752","1094"
"ENSMUSG00000026111.16","ENSMUST00000027285.13","7541","1414"
"ENSMUSG00000026111.16","ENSMUST00000118059.3","7607","1179"
"ENSMUSG00000026110.16","ENSMUST00000042161.15","89866","7030"
"ENSMUSG00000026110.16","ENSMUST00000151952.8","94426","7251"
"ENSMUSG00000026110.16","ENSMUST00000154819.8","89893","2796"
"ENSMUSG00000026110.16","ENSMUST00000143636.8","50009","1802"
"ENSMUSG00000026090.17","ENSMUST00000162875.8","103775","4634"
"ENSMUSG00000060771.16","ENSMUST00000041815.15","106904","3400"
"ENSMUSG00000060771.16","ENSMUST00000114902.8","91828","2724"
"ENSMUSG00000060771.16","ENSMUST00000239367.2","101507","2507"
"ENSMUSG00000060771.16","ENSMUST00000088072.10","101770","3837"
"ENSMUSG00000060771.16","ENSMUST00000123082.9","28481","3953"
"ENSMUSG00000060771.16","ENSMUST00000155852.7","28778","2861"
"ENSMUSG00000060771.16","ENSMUST00000193669.2","28822","1981"
"ENSMUSG00000037216.6","ENSMUST00000041621.5","2538","1485"
"ENSMUSG00000026088.16","ENSMUST00000139725.8","14432","1175"
"ENSMUSG00000026088.16","ENSMUST00000027257.10","10293","1231"
"ENSMUSG00000026087.12","ENSMUST00000027256.12","7090","969"
"ENSMUSG00000026087.12","ENSMUST00000193673.6","7171","662"
"ENSMUSG00000026087.12","ENSMUST00000195373.2","3817","587"
"ENSMUSG00000061584.7","ENSMUST00000078307.7","8007","2564"
"ENSMUSG00000026085.12","ENSMUST00000027254.10","10224","800"
"ENSMUSG00000026085.12","ENSMUST00000114894.2","10224","798"
"ENSMUSG00000058407.13","ENSMUST00000162031.8","8746","3381"
