ENSMUSG00000089699.2	ENSMUST00000161581.2
ENSMUSG00000102331.2	ENSMUST00000192692.2
ENSMUSG00000102343.2	ENSMUST00000194643.2
ENSMUSG00000102343.2	ENSMUST00000192427.2
ENSMUSG00000104238.2	ENSMUST00000194935.2
ENSMUSG00000104328.2	ENSMUST00000195771.2
ENSMUSG00000085623.2	ENSMUST00000144339.2
ENSMUSG00000090031.3	ENSMUST00000191825.2
ENSMUSG00000090031.3	ENSMUST00000159618.2
ENSMUSG00000097797.7	ENSMUST00000181554.2
ENSMUSG00000097797.7	ENSMUST00000193106.6
ENSMUSG00000097797.7	ENSMUST00000193732.2
ENSMUSG00000103067.2	ENSMUST00000194886.2
ENSMUSG00000079671.9	ENSMUST00000115480.8
ENSMUSG00000079671.9	ENSMUST00000148585.8
ENSMUSG00000099827.2	ENSMUST00000191209.2
ENSMUSG00000097893.9	ENSMUST00000181358.8
ENSMUSG00000097893.9	ENSMUST00000189431.2
ENSMUSG00000097893.9	ENSMUST00000207445.2
ENSMUSG00000098234.8	ENSMUST00000182580.8
ENSMUSG00000098234.8	ENSMUST00000182819.8
ENSMUSG00000087199.2	ENSMUST00000134692.2
ENSMUSG00000097171.2	ENSMUST00000181272.2
ENSMUSG00000101314.2	ENSMUST00000186962.2
ENSMUSG00000099498.2	ENSMUST00000187394.2
ENSMUSG00000101476.2	ENSMUST00000185813.2
ENSMUSG00000054493.3	ENSMUST00000187401.2
ENSMUSG00000054493.3	ENSMUST00000067599.2
ENSMUSG00000100868.2	ENSMUST00000186343.2
ENSMUSG00000089982.8	ENSMUST00000161626.2
ENSMUSG00000089982.8	ENSMUST00000160446.8
ENSMUSG00000097744.2	ENSMUST00000181371.2
ENSMUSG00000101640.2	ENSMUST00000186604.2
ENSMUSG00000100110.2	ENSMUST00000188872.2
ENSMUSG00000099899.2	ENSMUST00000187817.2
ENSMUSG00000100053.2	ENSMUST00000186267.2
ENSMUSG00000085125.8	ENSMUST00000155588.8
ENSMUSG00000085125.8	ENSMUST00000127328.2
ENSMUSG00000085125.8	ENSMUST00000149914.2
ENSMUSG00000099895.2	ENSMUST00000189853.2
ENSMUSG00000109887.2	ENSMUST00000209405.2
ENSMUSG00000089787.3	ENSMUST00000159108.3
ENSMUSG00000100538.2	ENSMUST00000189218.2
ENSMUSG00000089914.3	ENSMUST00000161509.3
ENSMUSG00000099906.3	ENSMUST00000227082.2
ENSMUSG00000099906.3	ENSMUST00000185494.2
ENSMUSG00000102121.2	ENSMUST00000185290.2
ENSMUSG00000097934.2	ENSMUST00000181654.2
ENSMUSG00000099971.2	ENSMUST00000186612.2
ENSMUSG00000099343.2	ENSMUST00000185842.2
ENSMUSG00000101227.2	ENSMUST00000191045.2
ENSMUSG00000097970.2	ENSMUST00000182303.2
ENSMUSG00000100775.2	ENSMUST00000190910.2
ENSMUSG00000099503.2	ENSMUST00000191140.2
ENSMUSG00000100483.2	ENSMUST00000186563.2
ENSMUSG00000100483.2	ENSMUST00000189477.2
ENSMUSG00000099392.2	ENSMUST00000185379.2
ENSMUSG00000101514.2	ENSMUST00000185409.2
ENSMUSG00000053185.3	ENSMUST00000065469.3
ENSMUSG00000100237.2	ENSMUST00000191364.2
ENSMUSG00000100910.2	ENSMUST00000186448.2
ENSMUSG00000102917.2	ENSMUST00000195240.2
ENSMUSG00000104230.2	ENSMUST00000193283.2
ENSMUSG00000096992.4	ENSMUST00000181692.3
ENSMUSG00000104397.2	ENSMUST00000193131.2
ENSMUSG00000102336.2	ENSMUST00000192173.2
ENSMUSG00000101711.2	ENSMUST00000191315.2
ENSMUSG00000100280.3	ENSMUST00000185218.2
ENSMUSG00000100280.3	ENSMUST00000185881.2
ENSMUSG00000101223.7	ENSMUST00000188292.7
ENSMUSG00000101223.7	ENSMUST00000186117.2
ENSMUSG00000045815.5	ENSMUST00000186712.2
ENSMUSG00000104002.3	ENSMUST00000193040.3
ENSMUSG00000104417.2	ENSMUST00000195168.2
ENSMUSG00000101714.2	ENSMUST00000187528.2
ENSMUSG00000102531.2	ENSMUST00000194261.2
ENSMUSG00000102279.2	ENSMUST00000192572.2
ENSMUSG00000103708.2	ENSMUST00000193725.2
ENSMUSG00000104201.2	ENSMUST00000192017.2
ENSMUSG00000104523.2	ENSMUST00000192656.2
ENSMUSG00000102202.2	ENSMUST00000193983.2
ENSMUSG00000102762.2	ENSMUST00000192234.2
ENSMUSG00000102845.2	ENSMUST00000192037.2
ENSMUSG00000087589.4	ENSMUST00000149224.3
ENSMUSG00000104237.2	ENSMUST00000193853.2
ENSMUSG00000102930.2	ENSMUST00000194317.2
ENSMUSG00000103603.2	ENSMUST00000195303.2
ENSMUSG00000086064.2	ENSMUST00000137241.2
ENSMUSG00000089767.2	ENSMUST00000160659.2
ENSMUSG00000097268.2	ENSMUST00000181885.2
ENSMUSG00000087374.2	ENSMUST00000129513.2
ENSMUSG00000103804.2	ENSMUST00000195028.2
ENSMUSG00000102716.2	ENSMUST00000194892.2
ENSMUSG00000085391.2	ENSMUST00000127620.2
ENSMUSG00000085280.2	ENSMUST00000129696.2
ENSMUSG00000087131.8	ENSMUST00000143261.8
ENSMUSG00000087131.8	ENSMUST00000131663.2
ENSMUSG00000103647.2	ENSMUST00000195309.2
ENSMUSG00000104188.2	ENSMUST00000195476.2
ENSMUSG00000085894.2	ENSMUST00000146314.2
ENSMUSG00000097083.2	ENSMUST00000181841.2
ENSMUSG00000101634.7	ENSMUST00000187091.7
ENSMUSG00000101634.7	ENSMUST00000191299.7
ENSMUSG00000097899.3	ENSMUST00000181756.3
ENSMUSG00000104441.2	ENSMUST00000193927.2
ENSMUSG00000103679.2	ENSMUST00000193691.2
ENSMUSG00000103270.2	ENSMUST00000195134.2
ENSMUSG00000104072.2	ENSMUST00000194002.2
ENSMUSG00000100185.2	ENSMUST00000191087.2
ENSMUSG00000100832.2	ENSMUST00000186391.2
ENSMUSG00000053640.3	ENSMUST00000066196.2
ENSMUSG00000101919.2	ENSMUST00000191125.2
ENSMUSG00000101299.3	ENSMUST00000209336.2
ENSMUSG00000100180.2	ENSMUST00000190148.2
ENSMUSG00000060424.15	ENSMUST00000181660.8
ENSMUSG00000060424.15	ENSMUST00000176154.3
ENSMUSG00000060424.15	ENSMUST00000186656.7
ENSMUSG00000060424.15	ENSMUST00000185599.2
ENSMUSG00000060424.15	ENSMUST00000177136.3
ENSMUSG00000093436.7	ENSMUST00000199521.5
ENSMUSG00000093436.7	ENSMUST00000176807.3
ENSMUSG00000097063.4	ENSMUST00000180589.2
ENSMUSG00000099784.2	ENSMUST00000188773.2
ENSMUSG00000100269.2	ENSMUST00000185980.2
ENSMUSG00000041878.4	ENSMUST00000039080.4
ENSMUSG00000099576.2	ENSMUST00000189899.2
ENSMUSG00000100764.2	ENSMUST00000186289.2
ENSMUSG00000100764.2	ENSMUST00000185910.2
ENSMUSG00000100635.2	ENSMUST00000188753.2
ENSMUSG00000100480.2	ENSMUST00000187764.2
ENSMUSG00000101104.7	ENSMUST00000148542.8
ENSMUSG00000100769.2	ENSMUST00000190951.2
ENSMUSG00000101701.2	ENSMUST00000186732.2
ENSMUSG00000100213.2	ENSMUST00000189404.2
ENSMUSG00000101447.2	ENSMUST00000190006.2
ENSMUSG00000051616.15	ENSMUST00000188673.7
ENSMUSG00000099608.2	ENSMUST00000186016.2
ENSMUSG00000100451.2	ENSMUST00000191457.2
ENSMUSG00000100816.2	ENSMUST00000187677.2
ENSMUSG00000100671.2	ENSMUST00000185627.2
ENSMUSG00000101242.2	ENSMUST00000189560.2
ENSMUSG00000099924.2	ENSMUST00000187777.2
ENSMUSG00000099625.2	ENSMUST00000190705.2
ENSMUSG00000101799.2	ENSMUST00000189867.2
ENSMUSG00000101702.2	ENSMUST00000189460.2
ENSMUSG00000099413.2	ENSMUST00000190169.2
ENSMUSG00000099413.2	ENSMUST00000189410.2
ENSMUSG00000101741.2	ENSMUST00000189576.2
ENSMUSG00000101724.2	ENSMUST00000186428.2
ENSMUSG00000100313.2	ENSMUST00000186817.2
ENSMUSG00000101628.2	ENSMUST00000185516.2
ENSMUSG00000109599.2	ENSMUST00000210323.2
ENSMUSG00000100120.2	ENSMUST00000189527.2
ENSMUSG00000099878.2	ENSMUST00000188544.2
ENSMUSG00000100302.2	ENSMUST00000190228.2
ENSMUSG00000100763.2	ENSMUST00000191402.2
ENSMUSG00000101674.7	ENSMUST00000190007.7
ENSMUSG00000101674.7	ENSMUST00000188243.2
ENSMUSG00000097649.3	ENSMUST00000181563.2
ENSMUSG00000099950.2	ENSMUST00000189293.2
ENSMUSG00000100372.2	ENSMUST00000186048.2
ENSMUSG00000101332.2	ENSMUST00000187560.2
ENSMUSG00000087022.5	ENSMUST00000135238.4
ENSMUSG00000087022.5	ENSMUST00000187927.2
ENSMUSG00000087022.5	ENSMUST00000185204.2
ENSMUSG00000087022.5	ENSMUST00000187858.2
ENSMUSG00000099945.2	ENSMUST00000185283.2
ENSMUSG00000101429.2	ENSMUST00000190488.2
ENSMUSG00000097519.3	ENSMUST00000181949.3
ENSMUSG00000091283.2	ENSMUST00000172128.2
ENSMUSG00000089822.2	ENSMUST00000161126.2
ENSMUSG00000085054.3	ENSMUST00000129740.3
ENSMUSG00000085054.3	ENSMUST00000139825.2
ENSMUSG00000047383.9	ENSMUST00000054653.9
ENSMUSG00000099752.2	ENSMUST00000188707.2
ENSMUSG00000099752.2	ENSMUST00000191356.2
ENSMUSG00000097573.3	ENSMUST00000189096.2
ENSMUSG00000101586.2	ENSMUST00000190598.2
ENSMUSG00000099922.2	ENSMUST00000187523.2
ENSMUSG00000097819.2	ENSMUST00000180778.2
ENSMUSG00000099811.7	ENSMUST00000191318.7
ENSMUSG00000099811.7	ENSMUST00000189864.2
ENSMUSG00000101409.2	ENSMUST00000186973.2
ENSMUSG00000086795.2	ENSMUST00000145502.2
ENSMUSG00000085965.2	ENSMUST00000130082.2
ENSMUSG00000100893.2	ENSMUST00000186533.2
ENSMUSG00000085248.3	ENSMUST00000128274.3
ENSMUSG00000085447.2	ENSMUST00000141000.2
ENSMUSG00000086408.2	ENSMUST00000141758.2
ENSMUSG00000100965.2	ENSMUST00000187655.2
ENSMUSG00000086009.2	ENSMUST00000128588.2
ENSMUSG00000085842.8	ENSMUST00000138535.8
ENSMUSG00000085019.3	ENSMUST00000127498.3
ENSMUSG00000085400.2	ENSMUST00000147177.2
ENSMUSG00000100750.2	ENSMUST00000185587.2
ENSMUSG00000100811.2	ENSMUST00000189205.2
ENSMUSG00000100426.2	ENSMUST00000189802.2
ENSMUSG00000084799.8	ENSMUST00000186436.2
ENSMUSG00000084799.8	ENSMUST00000138611.8
ENSMUSG00000084799.8	ENSMUST00000188602.2
ENSMUSG00000101599.2	ENSMUST00000185480.2
ENSMUSG00000086730.3	ENSMUST00000141027.2
ENSMUSG00000086730.3	ENSMUST00000189722.2
ENSMUSG00000087561.8	ENSMUST00000153049.8
ENSMUSG00000044689.6	ENSMUST00000133244.2
ENSMUSG00000086836.2	ENSMUST00000149820.2
ENSMUSG00000101895.2	ENSMUST00000190863.2
ENSMUSG00000101832.2	ENSMUST00000186895.2
ENSMUSG00000100437.2	ENSMUST00000189284.2
ENSMUSG00000087213.3	ENSMUST00000150749.2
ENSMUSG00000087213.3	ENSMUST00000122813.2
ENSMUSG00000073656.5	ENSMUST00000147494.2
ENSMUSG00000086204.2	ENSMUST00000140506.2
ENSMUSG00000085075.2	ENSMUST00000147834.2
ENSMUSG00000087329.4	ENSMUST00000124160.4
ENSMUSG00000087514.2	ENSMUST00000140116.2
ENSMUSG00000099804.2	ENSMUST00000189646.2
ENSMUSG00000100354.2	ENSMUST00000185991.2
ENSMUSG00000101156.2	ENSMUST00000187100.2
ENSMUSG00000100815.2	ENSMUST00000188962.2
ENSMUSG00000099954.2	ENSMUST00000190898.2
ENSMUSG00000073652.11	ENSMUST00000097699.3
ENSMUSG00000073652.11	ENSMUST00000126516.3
ENSMUSG00000099707.7	ENSMUST00000189680.7
ENSMUSG00000099707.7	ENSMUST00000188258.7
ENSMUSG00000099707.7	ENSMUST00000187594.7
ENSMUSG00000101211.2	ENSMUST00000187553.2
ENSMUSG00000101848.2	ENSMUST00000188213.2
ENSMUSG00000101764.2	ENSMUST00000185689.2
ENSMUSG00000102123.2	ENSMUST00000191139.2
ENSMUSG00000110712.2	ENSMUST00000211909.2
