"Gene","Gene_length","Transcript","Exon","intron_length","exon_length","TPE"
"ENSMUSG00000089699.2",46966,1,2,46717,250,0.5
"ENSMUSG00000102331.2",11595,1,2,8337,3259,0.5
"ENSMUSG00000102343.2",80476,2,5,80681,1556,0.4
"ENSMUSG00000104238.2",3007,1,3,1610,475,0.333333333333333
"ENSMUSG00000104328.2",3123,1,2,351,2773,0.5
"ENSMUSG00000085623.2",5963,1,3,2239,3725,0.333333333333333
"ENSMUSG00000090031.3",5427,2,3,885,5841,0.666666666666667
"ENSMUSG00000097797.7",48463,3,10,90208,2080,0.3
"ENSMUSG00000103067.2",20181,1,3,17586,2596,0.333333333333333
"ENSMUSG00000079671.9",70343,2,7,96272,4721,0.285714285714286
"ENSMUSG00000099827.2",1327,1,2,261,1067,0.5
"ENSMUSG00000097893.9",44276,3,14,106164,3044,0.214285714285714
"ENSMUSG00000098234.8",2159,2,6,2072,1289,0.333333333333333
"ENSMUSG00000087199.2",9979,1,2,9324,656,0.5
"ENSMUSG00000097171.2",5527,1,3,2328,3200,0.333333333333333
"ENSMUSG00000101314.2",852,1,1,0,853,1
"ENSMUSG00000099498.2",9824,1,4,9537,288,0.25
"ENSMUSG00000101476.2",12343,1,2,11663,681,0.5
"ENSMUSG00000054493.3",23994,2,6,23308,3607,0.333333333333333
"ENSMUSG00000100868.2",15556,1,3,14042,1515,0.333333333333333
"ENSMUSG00000089982.8",14329,2,6,18476,1124,0.333333333333333
"ENSMUSG00000097744.2",4726,1,4,1939,2788,0.25
"ENSMUSG00000101640.2",193446,1,3,193271,176,0.333333333333333
"ENSMUSG00000100110.2",4209,1,2,3851,359,0.5
"ENSMUSG00000099899.2",4700,1,4,3690,1011,0.25
"ENSMUSG00000100053.2",25997,1,4,21780,4218,0.25
"ENSMUSG00000085125.8",51619,3,11,79015,9258,0.272727272727273
"ENSMUSG00000099895.2",63502,1,3,62874,629,0.333333333333333
"ENSMUSG00000109887.2",64594,1,4,62134,2461,0.25
"ENSMUSG00000089787.3",41540,1,4,40623,918,0.25
"ENSMUSG00000100538.2",1044,1,2,843,202,0.5
"ENSMUSG00000089914.3",35848,1,3,35061,788,0.333333333333333
"ENSMUSG00000099906.3",14416,2,4,12556,5797,0.5
"ENSMUSG00000102121.2",3028,1,3,2196,833,0.333333333333333
"ENSMUSG00000097934.2",1823,1,4,704,1120,0.25
"ENSMUSG00000099971.2",1634,1,3,1089,546,0.333333333333333
"ENSMUSG00000099343.2",21234,1,2,20602,633,0.5
"ENSMUSG00000101227.2",187378,1,4,185301,2078,0.25
"ENSMUSG00000097970.2",398,1,1,0,399,1
"ENSMUSG00000100775.2",346,1,1,0,347,1
"ENSMUSG00000099503.2",22077,1,4,21300,778,0.25
"ENSMUSG00000100483.2",1949,2,4,1542,1389,0.5
"ENSMUSG00000099392.2",651,1,2,204,448,0.5
"ENSMUSG00000101514.2",18350,1,2,16349,2002,0.5
"ENSMUSG00000053185.3",1402,1,2,242,1161,0.5
"ENSMUSG00000100237.2",1756,1,3,1172,585,0.333333333333333
"ENSMUSG00000100910.2",14079,1,3,11222,2858,0.333333333333333
"ENSMUSG00000102917.2",1220,1,1,0,1221,1
"ENSMUSG00000104230.2",2701,1,2,2052,650,0.5
"ENSMUSG00000096992.4",12590,1,3,10666,1750,0.333333333333333
"ENSMUSG00000104397.2",874,1,2,445,430,0.5
"ENSMUSG00000102336.2",6262,1,1,0,6263,1
"ENSMUSG00000101711.2",5219,1,2,4691,529,0.5
"ENSMUSG00000100280.3",4314,2,5,3275,1323,0.4
"ENSMUSG00000101223.7",8766,2,8,11973,1424,0.25
"ENSMUSG00000045815.5",509,1,1,0,510,1
"ENSMUSG00000104002.3",2548,1,1,0,2549,1
"ENSMUSG00000104417.2",25691,1,4,25052,640,0.25
"ENSMUSG00000101714.2",3488,1,2,3037,452,0.5
"ENSMUSG00000102531.2",1274,1,2,709,566,0.5
"ENSMUSG00000102279.2",4413,1,3,3951,463,0.333333333333333
"ENSMUSG00000103708.2",8059,1,3,7406,654,0.333333333333333
"ENSMUSG00000104201.2",822,1,2,398,425,0.5
"ENSMUSG00000104523.2",1062,1,2,616,447,0.5
"ENSMUSG00000102202.2",6704,1,4,2365,4340,0.25
"ENSMUSG00000102762.2",712,1,1,0,713,1
"ENSMUSG00000102845.2",703,1,2,435,269,0.5
"ENSMUSG00000087589.4",7912,1,3,6345,910,0.333333333333333
"ENSMUSG00000104237.2",5744,1,2,4112,1633,0.5
"ENSMUSG00000102930.2",2938,1,2,526,2413,0.5
"ENSMUSG00000103603.2",991,1,1,0,992,1
"ENSMUSG00000086064.2",4505,1,3,3751,739,0.333333333333333
"ENSMUSG00000089767.2",1113,1,2,554,560,0.5
"ENSMUSG00000097268.2",6089,1,2,3001,3089,0.5
"ENSMUSG00000087374.2",20540,1,6,16551,3990,0.166666666666667
"ENSMUSG00000103804.2",1010,1,2,310,701,0.5
"ENSMUSG00000102716.2",27809,1,6,25962,1848,0.166666666666667
"ENSMUSG00000085391.2",11246,1,4,9747,437,0.25
"ENSMUSG00000085280.2",4028,1,3,3390,639,0.333333333333333
"ENSMUSG00000087131.8",9025,2,7,8381,2061,0.285714285714286
"ENSMUSG00000103647.2",3318,1,2,2994,325,0.5
"ENSMUSG00000104188.2",8989,1,2,7147,1843,0.5
"ENSMUSG00000085894.2",4432,1,3,2601,1832,0.333333333333333
"ENSMUSG00000097083.2",7206,1,2,3544,3663,0.5
"ENSMUSG00000101634.7",8159,2,8,10222,1211,0.25
"ENSMUSG00000097899.3",9623,1,4,8782,842,0.25
"ENSMUSG00000104441.2",8474,1,3,7996,479,0.333333333333333
"ENSMUSG00000103679.2",6194,1,3,5392,803,0.333333333333333
"ENSMUSG00000103270.2",13958,1,3,10698,3261,0.333333333333333
"ENSMUSG00000104072.2",13665,1,3,13120,546,0.333333333333333
"ENSMUSG00000100185.2",2612,1,1,0,2613,1
"ENSMUSG00000100832.2",157752,1,6,154994,2759,0.166666666666667
"ENSMUSG00000053640.3",1382,1,1,0,1383,1
"ENSMUSG00000101919.2",462,1,1,0,463,1
"ENSMUSG00000101299.3",42557,1,7,41079,1477,0.142857142857143
"ENSMUSG00000100180.2",31347,1,3,30077,1271,0.333333333333333
"ENSMUSG00000060424.15",104060,5,16,192371,5132,0.3125
"ENSMUSG00000093436.7",49866,2,2,93935,1976,1
"ENSMUSG00000097063.4",6393,1,4,5931,463,0.25
"ENSMUSG00000099784.2",2169,1,1,0,2170,1
"ENSMUSG00000100269.2",867,1,2,454,414,0.5
"ENSMUSG00000041878.4",1247,1,1,0,1248,1
"ENSMUSG00000099576.2",52769,1,6,51582,1188,0.166666666666667
"ENSMUSG00000100764.2",1934,2,3,1719,485,0.666666666666667
"ENSMUSG00000100635.2",611,1,1,0,612,1
"ENSMUSG00000100480.2",498,1,1,0,499,1
"ENSMUSG00000101104.7",19327,1,5,18012,571,0.2
"ENSMUSG00000100769.2",1638,1,3,531,1108,0.333333333333333
"ENSMUSG00000101701.2",5273,1,3,4369,905,0.333333333333333
"ENSMUSG00000100213.2",950,1,1,0,951,1
"ENSMUSG00000101447.2",35610,1,3,35123,488,0.333333333333333
"ENSMUSG00000051616.15",95827,1,5,95274,554,0.2
"ENSMUSG00000099608.2",1492,1,1,0,1493,1
"ENSMUSG00000100451.2",527,1,1,0,528,1
"ENSMUSG00000100816.2",2326,1,1,0,2327,1
"ENSMUSG00000100671.2",1474,1,1,0,1475,1
"ENSMUSG00000101242.2",2941,1,2,2716,226,0.5
"ENSMUSG00000099924.2",2272,1,1,0,2273,1
"ENSMUSG00000099625.2",2527,1,1,0,2528,1
"ENSMUSG00000101799.2",115393,1,5,112842,2552,0.2
"ENSMUSG00000101702.2",999,1,2,452,548,0.5
"ENSMUSG00000099413.2",89632,2,6,87939,4519,0.333333333333333
"ENSMUSG00000101741.2",50619,1,2,276,1301,0.5
"ENSMUSG00000101724.2",1278,1,1,0,1279,1
"ENSMUSG00000100313.2",2498,1,1,0,2499,1
"ENSMUSG00000101628.2",78826,1,25,75295,3532,0.04
"ENSMUSG00000109599.2",5630,1,2,4461,1170,0.5
"ENSMUSG00000100120.2",59777,1,5,59077,701,0.2
"ENSMUSG00000099878.2",10277,1,6,7335,2943,0.166666666666667
"ENSMUSG00000100302.2",2490,1,1,0,2491,1
"ENSMUSG00000100763.2",1582,1,3,1048,535,0.333333333333333
"ENSMUSG00000101674.7",85795,2,7,129367,2750,0.285714285714286
"ENSMUSG00000097649.3",9371,1,3,7429,1943,0.333333333333333
"ENSMUSG00000099950.2",41087,1,6,38952,1906,0.166666666666667
"ENSMUSG00000100372.2",1225,1,2,802,424,0.5
"ENSMUSG00000101332.2",2052,1,1,0,2053,1
"ENSMUSG00000087022.5",78672,4,12,81753,4892,0.333333333333333
"ENSMUSG00000099945.2",2060,1,1,0,2061,1
"ENSMUSG00000101429.2",14348,1,7,11048,3301,0.142857142857143
"ENSMUSG00000097519.3",18322,1,4,16271,2052,0.25
"ENSMUSG00000091283.2",7276,1,2,6885,392,0.5
"ENSMUSG00000089822.2",61539,1,6,57817,3723,0.166666666666667
"ENSMUSG00000085054.3",18082,2,11,25745,4710,0.181818181818182
"ENSMUSG00000047383.9",6416,1,2,5539,878,0.5
"ENSMUSG00000099752.2",45257,2,6,45872,1238,0.333333333333333
"ENSMUSG00000097573.3",2308,1,1,0,2309,1
"ENSMUSG00000101586.2",18273,1,2,16182,2092,0.5
"ENSMUSG00000099922.2",13369,1,4,12357,1013,0.25
"ENSMUSG00000097819.2",4125,1,2,539,3587,0.5
"ENSMUSG00000099811.7",16530,2,5,22357,805,0.4
"ENSMUSG00000101409.2",2418,1,2,1998,421,0.5
"ENSMUSG00000086795.2",5169,1,2,4325,845,0.5
"ENSMUSG00000085965.2",24947,1,4,24560,388,0.25
"ENSMUSG00000100893.2",6223,1,2,5686,538,0.5
