ENSG00000186092.7	ENST00000641515.2
ENSG00000284733.2	ENST00000426406.4
ENSG00000284662.1	ENST00000332831.4
ENSG00000187634.13	ENST00000616016.5
ENSG00000187634.13	ENST00000618323.5
ENSG00000187634.13	ENST00000342066.8
ENSG00000188976.11	ENST00000327044.7
ENSG00000187961.14	ENST00000338591.8
ENSG00000187961.14	ENST00000622660.1
ENSG00000187583.11	ENST00000379410.8
ENSG00000187583.11	ENST00000379407.7
ENSG00000187583.11	ENST00000379409.6
ENSG00000187642.9	ENST00000341290.6
ENSG00000187642.9	ENST00000433179.3
ENSG00000188290.11	ENST00000428771.6
ENSG00000188290.11	ENST00000304952.11
ENSG00000188290.11	ENST00000484667.2
ENSG00000187608.10	ENST00000624697.4
ENSG00000187608.10	ENST00000649529.1
ENSG00000188157.15	ENST00000379370.7
ENSG00000188157.15	ENST00000620552.4
ENSG00000237330.3	ENST00000453464.3
ENSG00000131591.18	ENST00000379339.5
ENSG00000131591.18	ENST00000421241.7
ENSG00000131591.18	ENST00000379320.5
ENSG00000131591.18	ENST00000379319.5
ENSG00000162571.14	ENST00000379290.6
ENSG00000162571.14	ENST00000379289.6
ENSG00000162571.14	ENST00000379288.3
ENSG00000186891.14	ENST00000328596.10
ENSG00000186891.14	ENST00000379268.7
ENSG00000186891.14	ENST00000486728.5
ENSG00000186891.14	ENST00000379265.5
ENSG00000186827.11	ENST00000379236.4
ENSG00000078808.19	ENST00000660930.1
ENSG00000078808.19	ENST00000360001.12
ENSG00000078808.19	ENST00000263741.12
ENSG00000176022.7	ENST00000379198.5
ENSG00000184163.3	ENST00000330388.2
ENSG00000160087.21	ENST00000349431.11
ENSG00000160087.21	ENST00000347370.6
ENSG00000160087.21	ENST00000400929.6
ENSG00000160087.21	ENST00000360466.6
ENSG00000160087.21	ENST00000400930.8
ENSG00000162572.21	ENST00000379116.10
ENSG00000162572.21	ENST00000338555.6
ENSG00000162572.21	ENST00000400928.7
ENSG00000162572.21	ENST00000325425.12
ENSG00000131584.19	ENST00000354700.10
ENSG00000131584.19	ENST00000353662.4
ENSG00000169972.12	ENST00000379031.10
ENSG00000127054.21	ENST00000540437.5
ENSG00000127054.21	ENST00000545578.5
ENSG00000127054.21	ENST00000620829.4
ENSG00000127054.21	ENST00000618806.4
ENSG00000127054.21	ENST00000435064.6
ENSG00000127054.21	ENST00000411962.5
ENSG00000127054.21	ENST00000421495.6
ENSG00000127054.21	ENST00000419704.5
ENSG00000127054.21	ENST00000450926.6
ENSG00000127054.21	ENST00000429572.5
ENSG00000224051.7	ENST00000343938.9
ENSG00000169962.5	ENST00000339381.6
ENSG00000107404.20	ENST00000378891.9
ENSG00000107404.20	ENST00000378888.10
ENSG00000107404.20	ENST00000610709.2
ENSG00000162576.17	ENST00000342753.8
ENSG00000162576.17	ENST00000309212.11
ENSG00000162576.17	ENST00000445648.5
ENSG00000162576.17	ENST00000477278.3
ENSG00000175756.13	ENST00000338370.7
ENSG00000175756.13	ENST00000338338.9
ENSG00000175756.13	ENST00000321751.9
ENSG00000175756.13	ENST00000378853.3
ENSG00000221978.12	ENST00000400809.8
ENSG00000221978.12	ENST00000408952.8
ENSG00000221978.12	ENST00000408918.8
ENSG00000242485.6	ENST00000344843.12
ENSG00000242485.6	ENST00000482352.1
ENSG00000235098.9	ENST00000537107.6
ENSG00000235098.9	ENST00000520296.5
ENSG00000235098.9	ENST00000427211.3
ENSG00000235098.9	ENST00000454272.2
ENSG00000235098.9	ENST00000442470.1
ENSG00000205116.4	ENST00000378821.4
ENSG00000179403.12	ENST00000338660.5
ENSG00000179403.12	ENST00000476993.2
ENSG00000215915.10	ENST00000378785.7
ENSG00000160072.20	ENST00000673477.1
ENSG00000160072.20	ENST00000308647.8
ENSG00000197785.14	ENST00000378756.8
ENSG00000197785.14	ENST00000378755.9
ENSG00000197785.14	ENST00000536055.6
ENSG00000205090.9	ENST00000378733.9
ENSG00000205090.9	ENST00000425828.1
ENSG00000205090.9	ENST00000624426.1
ENSG00000160075.12	ENST00000291386.4
ENSG00000160075.12	ENST00000359060.5
ENSG00000228594.4	ENST00000422725.4
ENSG00000197530.13	ENST00000355826.10
ENSG00000197530.13	ENST00000505820.7
ENSG00000197530.13	ENST00000518681.6
ENSG00000197530.13	ENST00000520777.6
ENSG00000197530.13	ENST00000378712.5
ENSG00000197530.13	ENST00000504599.6
ENSG00000197530.13	ENST00000378708.5
ENSG00000189409.14	ENST00000356026.10
ENSG00000189409.14	ENST00000378675.7
ENSG00000248333.9	ENST00000341832.11
ENSG00000248333.9	ENST00000407249.7
ENSG00000248333.9	ENST00000340677.9
ENSG00000248333.9	ENST00000626918.2
ENSG00000248333.9	ENST00000629289.2
ENSG00000248333.9	ENST00000629312.2
ENSG00000189339.12	ENST00000614300.4
ENSG00000189339.12	ENST00000617444.5
ENSG00000189339.12	ENST00000611123.1
ENSG00000008128.23	ENST00000404249.8
ENSG00000008128.23	ENST00000356200.7
ENSG00000008128.23	ENST00000378638.6
ENSG00000008128.23	ENST00000357760.6
ENSG00000008128.23	ENST00000358779.9
ENSG00000008128.23	ENST00000378633.5
ENSG00000008130.15	ENST00000341426.9
ENSG00000008130.15	ENST00000341991.7
ENSG00000008130.15	ENST00000378625.5
ENSG00000078369.18	ENST00000610897.4
ENSG00000078369.18	ENST00000615252.4
ENSG00000078369.18	ENST00000378609.9
ENSG00000169885.10	ENST00000307786.8
ENSG00000178821.13	ENST00000378602.3
ENSG00000178821.13	ENST00000310991.8
ENSG00000142609.19	ENST00000493964.5
ENSG00000142609.19	ENST00000682832.1
ENSG00000187730.9	ENST00000378585.7
ENSG00000187730.9	ENST00000640067.1
ENSG00000187730.9	ENST00000638771.1
ENSG00000187730.9	ENST00000640949.1
ENSG00000067606.17	ENST00000400921.6
ENSG00000162585.17	ENST00000400919.7
ENSG00000162585.17	ENST00000378546.9
ENSG00000157933.10	ENST00000378536.5
ENSG00000116151.14	ENST00000378531.8
ENSG00000116151.14	ENST00000378529.7
ENSG00000157916.20	ENST00000378513.7
ENSG00000157916.20	ENST00000378518.5
ENSG00000157916.20	ENST00000605895.6
ENSG00000157916.20	ENST00000378512.5
ENSG00000157916.20	ENST00000488353.2
ENSG00000157911.11	ENST00000288774.8
ENSG00000157911.11	ENST00000447513.7
ENSG00000157911.11	ENST00000507596.5
ENSG00000149527.18	ENST00000449969.5
ENSG00000149527.18	ENST00000378486.8
ENSG00000149527.18	ENST00000419816.6
ENSG00000157881.16	ENST00000378466.9
ENSG00000157881.16	ENST00000435556.8
ENSG00000197921.6	ENST00000378453.4
ENSG00000157873.18	ENST00000409119.5
ENSG00000157873.18	ENST00000355716.5
ENSG00000157870.17	ENST00000444521.6
ENSG00000157870.17	ENST00000378425.9
ENSG00000157870.17	ENST00000419916.8
ENSG00000157870.17	ENST00000378424.9
ENSG00000157870.17	ENST00000537325.6
ENSG00000157870.17	ENST00000378427.6
ENSG00000142606.16	ENST00000378412.8
ENSG00000142606.16	ENST00000502556.5
ENSG00000215912.12	ENST00000401095.8
ENSG00000215912.12	ENST00000637179.1
ENSG00000169717.7	ENST00000378404.4
ENSG00000142611.17	ENST00000511072.5
ENSG00000142611.17	ENST00000378391.6
ENSG00000142611.17	ENST00000270722.10
ENSG00000142611.17	ENST00000514189.5
ENSG00000130762.15	ENST00000378378.9
ENSG00000130762.15	ENST00000378373.5
ENSG00000130762.15	ENST00000378371.6
ENSG00000162591.16	ENST00000356575.9
ENSG00000162591.16	ENST00000294599.8
ENSG00000158109.15	ENST00000378344.7
ENSG00000158109.15	ENST00000344579.5
ENSG00000116213.16	ENST00000378322.7
ENSG00000116213.16	ENST00000270708.12
ENSG00000078900.15	ENST00000378295.9
ENSG00000078900.15	ENST00000604074.5
ENSG00000078900.15	ENST00000354437.8
ENSG00000078900.15	ENST00000357733.7
ENSG00000078900.15	ENST00000346387.8
ENSG00000078900.15	ENST00000603362.5
ENSG00000078900.15	ENST00000604479.5
ENSG00000078900.15	ENST00000378285.5
ENSG00000078900.15	ENST00000378280.5
ENSG00000078900.15	ENST00000378288.8
ENSG00000078900.15	ENST00000378290.4
ENSG00000162592.10	ENST00000294600.7
ENSG00000235169.11	ENST00000642557.4
ENSG00000235169.11	ENST00000561886.2
ENSG00000235169.11	ENST00000444870.7
ENSG00000130764.10	ENST00000378251.3
ENSG00000116198.14	ENST00000676052.1
ENSG00000116198.14	ENST00000378230.8
ENSG00000116198.14	ENST00000674623.1
ENSG00000116198.14	ENST00000675677.1
ENSG00000116198.14	ENST00000675666.1
ENSG00000116198.14	ENST00000674558.1
ENSG00000116198.14	ENST00000674544.1
ENSG00000116198.14	ENST00000675375.1
ENSG00000116198.14	ENST00000428079.6
ENSG00000116198.14	ENST00000461667.2
ENSG00000116198.14	ENST00000494653.5
ENSG00000116198.14	ENST00000378223.3
ENSG00000169598.17	ENST00000625756.2
ENSG00000169598.17	ENST00000338895.7
ENSG00000169598.17	ENST00000378209.8
ENSG00000198912.12	ENST00000361605.4
ENSG00000198912.12	ENST00000680169.1
ENSG00000198912.12	ENST00000680535.1
ENSG00000196581.11	ENST00000378191.5
ENSG00000196581.11	ENST00000378190.7
ENSG00000131697.18	ENST00000378156.9
ENSG00000131697.18	ENST00000622020.4
ENSG00000069424.15	ENST00000378097.6
ENSG00000069424.15	ENST00000666163.1
ENSG00000069424.15	ENST00000671676.1
ENSG00000069424.15	ENST00000653262.1
ENSG00000069424.15	ENST00000341524.6
ENSG00000069424.15	ENST00000462676.3
ENSG00000069424.15	ENST00000428161.6
ENSG00000069424.15	ENST00000352527.6
ENSG00000069424.15	ENST00000663169.1
ENSG00000069424.15	ENST00000656198.1
ENSG00000069424.15	ENST00000602612.5
ENSG00000069424.15	ENST00000666299.1
ENSG00000069424.15	ENST00000652845.1
ENSG00000069424.15	ENST00000669250.1
ENSG00000069424.15	ENST00000164247.5
ENSG00000069424.15	ENST00000668559.1
ENSG00000069424.15	ENST00000378092.6
ENSG00000069424.15	ENST00000472700.7
ENSG00000069424.15	ENST00000378083.7
ENSG00000069424.15	ENST00000458166.6
ENSG00000069424.15	ENST00000662363.1
ENSG00000116254.18	ENST00000262450.8
ENSG00000285629.1	ENST00000484532.6
ENSG00000116251.11	ENST00000234875.9
ENSG00000116251.11	ENST00000497965.5
ENSG00000158286.13	ENST00000377939.5
ENSG00000116237.16	ENST00000343813.10
ENSG00000173673.8	ENST00000377898.4
ENSG00000158292.7	ENST00000377893.3
ENSG00000097021.20	ENST00000608083.5
ENSG00000097021.20	ENST00000361521.9
ENSG00000097021.20	ENST00000377842.7
ENSG00000097021.20	ENST00000377845.7
ENSG00000097021.20	ENST00000377855.6
ENSG00000097021.20	ENST00000545482.5
ENSG00000069812.11	ENST00000377837.5
ENSG00000069812.11	ENST00000377836.8
ENSG00000069812.11	ENST00000377834.8
ENSG00000069812.11	ENST00000487437.5
ENSG00000069812.11	ENST00000489730.1
ENSG00000187017.17	ENST00000645284.1
ENSG00000187017.17	ENST00000636330.1
ENSG00000187017.17	ENST00000416731.5
ENSG00000187017.17	ENST00000461727.6
ENSG00000215788.11	ENST00000356876.8
ENSG00000215788.11	ENST00000377782.7
ENSG00000215788.11	ENST00000351959.9
ENSG00000215788.11	ENST00000348333.7
ENSG00000215788.11	ENST00000351748.7
ENSG00000171680.23	ENST00000535355.6
ENSG00000171680.23	ENST00000400913.6
ENSG00000171680.23	ENST00000377725.5
ENSG00000171680.23	ENST00000340850.10
ENSG00000171680.23	ENST00000377728.8
ENSG00000171680.23	ENST00000377748.6
ENSG00000171680.23	ENST00000377732.5
ENSG00000171680.23	ENST00000400915.8
ENSG00000171680.23	ENST00000673471.2
ENSG00000171680.23	ENST00000377740.5
ENSG00000171680.23	ENST00000675694.1
ENSG00000171680.23	ENST00000675123.1
ENSG00000171680.23	ENST00000537245.6
ENSG00000162408.11	ENST00000377705.6
ENSG00000173662.21	ENST00000333172.11
ENSG00000173662.21	ENST00000351136.7
ENSG00000204859.13	ENST00000377674.9
ENSG00000162413.16	ENST00000377658.8
ENSG00000162413.16	ENST00000377663.3
ENSG00000162413.16	ENST00000467612.5
ENSG00000162413.16	ENST00000610898.1
ENSG00000162413.16	ENST00000463043.1
ENSG00000116273.6	ENST00000377648.5
ENSG00000041988.15	ENST00000054650.8
ENSG00000041988.15	ENST00000307896.10
ENSG00000041988.15	ENST00000377627.7
ENSG00000007923.16	ENST00000377577.10
ENSG00000007923.16	ENST00000294401.11
ENSG00000171735.19	ENST00000303635.12
ENSG00000171735.19	ENST00000473578.5
ENSG00000171735.19	ENST00000557126.5
ENSG00000171735.19	ENST00000467404.6
ENSG00000171735.19	ENST00000476864.1
ENSG00000049245.13	ENST00000054666.11
ENSG00000049245.13	ENST00000470357.1
ENSG00000049246.15	ENST00000377532.8
ENSG00000049246.15	ENST00000377541.5
ENSG00000049246.15	ENST00000613533.4
ENSG00000049246.15	ENST00000614998.4
ENSG00000049246.15	ENST00000361923.2
ENSG00000049247.14	ENST00000377516.6
ENSG00000049247.14	ENST00000361696.10
ENSG00000049247.14	ENST00000054668.5
ENSG00000049249.9	ENST00000377507.8
ENSG00000049249.9	ENST00000615230.4
ENSG00000116288.13	ENST00000493678.5
ENSG00000116288.13	ENST00000377493.9
ENSG00000116288.13	ENST00000338639.10
ENSG00000116288.13	ENST00000377491.5
ENSG00000116288.13	ENST00000377488.5
ENSG00000116285.13	ENST00000474874.5
ENSG00000116285.13	ENST00000377482.10
ENSG00000116285.13	ENST00000467067.1
ENSG00000116285.13	ENST00000469499.5
ENSG00000162426.16	ENST00000471889.7
ENSG00000162426.16	ENST00000289877.8
ENSG00000142599.19	ENST00000337907.7
ENSG00000142599.19	ENST00000400908.7
ENSG00000142599.19	ENST00000377464.5
ENSG00000142599.19	ENST00000400907.6
ENSG00000142599.19	ENST00000476556.5
ENSG00000142599.19	ENST00000659924.1
ENSG00000074800.16	ENST00000234590.10
ENSG00000074800.16	ENST00000647408.1
ENSG00000131686.15	ENST00000377443.7
ENSG00000131686.15	ENST00000480186.7
ENSG00000131686.15	ENST00000377436.6
ENSG00000131686.15	ENST00000377442.3
ENSG00000197241.4	ENST00000400906.2
ENSG00000142583.18	ENST00000377424.9
ENSG00000142583.18	ENST00000377414.7
ENSG00000180758.12	ENST00000377411.5
ENSG00000049239.13	ENST00000377403.7
ENSG00000049239.13	ENST00000602477.1
ENSG00000171621.14	ENST00000328089.11
ENSG00000171621.14	ENST00000357898.3
ENSG00000171621.14	ENST00000377399.2
ENSG00000171612.7	ENST00000302692.7
ENSG00000188807.13	ENST00000340381.11
ENSG00000188807.13	ENST00000340305.9
ENSG00000171608.16	ENST00000377346.9
ENSG00000171608.16	ENST00000536656.5
ENSG00000171608.16	ENST00000628140.2
ENSG00000171608.16	ENST00000543390.2
ENSG00000171608.16	ENST00000361110.6
ENSG00000171603.18	ENST00000377298.9
ENSG00000171603.18	ENST00000361311.4
ENSG00000178585.15	ENST00000377263.6
ENSG00000178585.15	ENST00000400904.7
ENSG00000178585.15	ENST00000377258.5
ENSG00000178585.15	ENST00000377256.1
