ENSMUSG00000051951.6	ENSMUST00000070533.5
ENSMUSG00000025900.14	ENSMUST00000208660.2
ENSMUSG00000025900.14	ENSMUST00000027032.6
ENSMUSG00000025902.14	ENSMUST00000027035.10
ENSMUSG00000025902.14	ENSMUST00000195555.2
ENSMUSG00000025902.14	ENSMUST00000192650.6
ENSMUSG00000025902.14	ENSMUST00000116652.8
ENSMUSG00000033845.14	ENSMUST00000130201.8
ENSMUSG00000033845.14	ENSMUST00000156816.7
ENSMUSG00000033845.14	ENSMUST00000146665.3
ENSMUSG00000025903.15	ENSMUST00000027036.11
ENSMUSG00000025903.15	ENSMUST00000150971.8
ENSMUSG00000025903.15	ENSMUST00000119612.9
ENSMUSG00000025903.15	ENSMUST00000115529.8
ENSMUSG00000104217.2	ENSMUST00000155020.2
ENSMUSG00000033813.16	ENSMUST00000081551.14
ENSMUSG00000033813.16	ENSMUST00000165720.3
ENSMUSG00000002459.18	ENSMUST00000002533.15
ENSMUSG00000002459.18	ENSMUST00000118000.8
ENSMUSG00000002459.18	ENSMUST00000119256.8
ENSMUSG00000033793.13	ENSMUST00000192847.6
ENSMUSG00000033793.13	ENSMUST00000044369.13
ENSMUSG00000033793.13	ENSMUST00000192698.3
ENSMUSG00000025905.15	ENSMUST00000160777.8
ENSMUSG00000025905.15	ENSMUST00000239100.2
ENSMUSG00000025905.15	ENSMUST00000027038.11
ENSMUSG00000025905.15	ENSMUST00000160339.2
ENSMUSG00000033774.5	ENSMUST00000044180.5
ENSMUSG00000025907.15	ENSMUST00000027040.13
ENSMUSG00000087247.4	ENSMUST00000133144.4
ENSMUSG00000033740.18	ENSMUST00000140079.8
ENSMUSG00000033740.18	ENSMUST00000131494.8
ENSMUSG00000033740.18	ENSMUST00000043578.13
ENSMUSG00000033740.18	ENSMUST00000150761.8
ENSMUSG00000033740.18	ENSMUST00000151281.8
ENSMUSG00000033740.18	ENSMUST00000163727.4
ENSMUSG00000051285.18	ENSMUST00000061280.17
ENSMUSG00000025909.17	ENSMUST00000132064.8
ENSMUSG00000025909.17	ENSMUST00000191683.6
ENSMUSG00000025909.17	ENSMUST00000140295.8
ENSMUSG00000025909.17	ENSMUST00000115488.3
ENSMUSG00000061024.9	ENSMUST00000072079.9
ENSMUSG00000025911.15	ENSMUST00000144177.8
ENSMUSG00000067879.4	ENSMUST00000088666.4
ENSMUSG00000025912.17	ENSMUST00000088658.11
ENSMUSG00000025912.17	ENSMUST00000115468.9
ENSMUSG00000045210.9	ENSMUST00000057438.7
ENSMUSG00000025915.15	ENSMUST00000166384.8
ENSMUSG00000025915.15	ENSMUST00000168907.8
ENSMUSG00000025915.15	ENSMUST00000171265.8
ENSMUSG00000025915.15	ENSMUST00000097826.6
ENSMUSG00000046101.17	ENSMUST00000052843.12
ENSMUSG00000046101.17	ENSMUST00000171802.8
ENSMUSG00000046101.17	ENSMUST00000125294.9
ENSMUSG00000046101.17	ENSMUST00000140948.9
ENSMUSG00000046101.17	ENSMUST00000118098.3
ENSMUSG00000099032.3	ENSMUST00000185184.2
ENSMUSG00000099032.3	ENSMUST00000097824.3
ENSMUSG00000025916.11	ENSMUST00000027049.10
ENSMUSG00000025917.10	ENSMUST00000027050.10
ENSMUSG00000056763.17	ENSMUST00000071087.12
ENSMUSG00000056763.17	ENSMUST00000117415.8
ENSMUSG00000056763.17	ENSMUST00000118263.8
ENSMUSG00000056763.17	ENSMUST00000122156.8
ENSMUSG00000056763.17	ENSMUST00000119714.8
ENSMUSG00000056763.17	ENSMUST00000186294.7
ENSMUSG00000067851.12	ENSMUST00000088615.11
ENSMUSG00000067851.12	ENSMUST00000131556.2
ENSMUSG00000042501.13	ENSMUST00000035577.7
ENSMUSG00000048960.14	ENSMUST00000027056.12
ENSMUSG00000057715.14	ENSMUST00000171690.9
ENSMUSG00000057715.14	ENSMUST00000048613.14
ENSMUSG00000057715.14	ENSMUST00000135014.8
ENSMUSG00000057715.14	ENSMUST00000137824.8
ENSMUSG00000057715.14	ENSMUST00000179089.8
ENSMUSG00000016918.16	ENSMUST00000177608.8
ENSMUSG00000016918.16	ENSMUST00000180062.8
ENSMUSG00000016918.16	ENSMUST00000186051.7
ENSMUSG00000016918.16	ENSMUST00000088585.10
ENSMUSG00000025938.17	ENSMUST00000188454.7
ENSMUSG00000025938.17	ENSMUST00000115403.9
ENSMUSG00000025938.17	ENSMUST00000115402.8
ENSMUSG00000025938.17	ENSMUST00000136197.8
ENSMUSG00000025938.17	ENSMUST00000146763.8
ENSMUSG00000025938.17	ENSMUST00000147606.3
ENSMUSG00000042414.8	ENSMUST00000047577.7
ENSMUSG00000005886.15	ENSMUST00000081713.11
ENSMUSG00000005886.15	ENSMUST00000068304.13
ENSMUSG00000005886.15	ENSMUST00000006037.13
ENSMUSG00000025935.11	ENSMUST00000027068.11
ENSMUSG00000025937.7	ENSMUST00000027071.7
ENSMUSG00000067813.4	ENSMUST00000088542.4
ENSMUSG00000025932.15	ENSMUST00000027066.13
ENSMUSG00000025932.15	ENSMUST00000168081.9
ENSMUSG00000025932.15	ENSMUST00000080664.14
ENSMUSG00000025932.15	ENSMUST00000190337.7
ENSMUSG00000025930.7	ENSMUST00000027062.7
ENSMUSG00000032769.6	ENSMUST00000041447.5
ENSMUSG00000032769.6	ENSMUST00000235071.2
ENSMUSG00000092083.5	ENSMUST00000175681.3
ENSMUSG00000092083.5	ENSMUST00000170146.3
ENSMUSG00000025925.15	ENSMUST00000188371.7
ENSMUSG00000025925.15	ENSMUST00000027057.8
ENSMUSG00000032719.5	ENSMUST00000040695.5
ENSMUSG00000067795.14	ENSMUST00000115367.8
ENSMUSG00000067795.14	ENSMUST00000145070.8
ENSMUSG00000067795.14	ENSMUST00000151004.2
ENSMUSG00000043716.14	ENSMUST00000058437.14
ENSMUSG00000025921.8	ENSMUST00000027053.8
ENSMUSG00000025920.20	ENSMUST00000162751.8
ENSMUSG00000025920.20	ENSMUST00000054668.13
ENSMUSG00000025920.20	ENSMUST00000162627.8
ENSMUSG00000025920.20	ENSMUST00000027052.13
ENSMUSG00000025920.20	ENSMUST00000162435.8
ENSMUSG00000025920.20	ENSMUST00000159558.8
ENSMUSG00000025920.20	ENSMUST00000128957.9
