"Gene","Gene_length","Transcript","Exon","intron_length","exon_length","TPE"
"ENSG00000243485.5",1555,2,5,1140,1247,0.4
"ENSG00000237613.2",1527,1,3,341,1187,0.333333333333333
"ENSG00000238009.6",44428,2,8,41166,3471,0.25
"ENSG00000239945.1",1554,1,2,236,1319,0.5
"ENSG00000239906.1",549,1,2,227,323,0.5
"ENSG00000241860.7",32388,3,13,32449,6982,0.230769230769231
"ENSG00000241599.1",1079,1,2,623,457,0.5
"ENSG00000286448.1",1800,1,2,1065,736,0.5
"ENSG00000236601.2",7195,1,2,5002,994,0.5
"ENSG00000235146.2",7139,1,2,6533,607,0.5
"ENSG00000229905.1",1078,1,2,623,456,0.5
"ENSG00000237491.10",31318,6,20,118588,9314,0.3
"ENSG00000177757.2",2466,1,2,520,1947,0.5
"ENSG00000228794.10",34308,7,26,175738,28777,0.269230769230769
"ENSG00000225880.5",1316,1,1,0,1317,1
"ENSG00000288531.1",7976,2,5,9892,4579,0.4
"ENSG00000230368.2",8832,2,7,8484,2311,0.285714285714286
"ENSG00000272438.1",11142,1,2,10792,351,0.5
"ENSG00000230699.2",3513,1,2,471,3043,0.5
"ENSG00000241180.1",800,1,2,358,443,0.5
"ENSG00000223764.2",4151,1,4,1434,1389,0.25
"ENSG00000272512.1",2085,1,1,0,2086,1
"ENSG00000224969.1",1196,1,2,726,471,0.5
"ENSG00000242590.1",1083,1,2,682,402,0.5
"ENSG00000273443.1",1080,1,2,252,829,0.5
"ENSG00000285812.1",7013,1,2,5919,1095,0.5
"ENSG00000223823.1",7039,1,3,5420,1620,0.333333333333333
"ENSG00000272141.1",986,1,1,0,987,1
"ENSG00000205231.1",6499,1,2,2968,3532,0.5
"ENSG00000260179.1",1557,1,1,0,1558,1
"ENSG00000230415.1",5197,2,5,8698,657,0.4
"ENSG00000240731.1",1108,1,2,723,386,0.5
"ENSG00000224870.7",2526,1,3,592,1843,0.333333333333333
"ENSG00000272455.1",1522,1,1,0,1523,1
"ENSG00000225905.1",2446,1,2,1904,543,0.5
"ENSG00000225285.1",4034,2,4,6748,1144,0.5
"ENSG00000215014.5",2973,1,2,937,841,0.5
"ENSG00000286989.1",2389,1,3,560,1830,0.333333333333333
"ENSG00000272106.1",2037,1,1,0,2038,1
"ENSG00000272004.1",3277,1,2,2878,400,0.5
"ENSG00000268575.1",34952,1,5,29874,5079,0.2
"ENSG00000231050.1",1187,1,2,282,906,0.5
"ENSG00000233542.2",2426,2,5,1458,2931,0.4
"ENSG00000226969.1",867,1,3,330,437,0.333333333333333
"ENSG00000271806.1",4195,1,1,0,4196,1
"ENSG00000182873.5",2595,2,5,1862,1875,0.4
"ENSG00000234396.3",8215,1,2,7890,326,0.5
"ENSG00000287356.1",8045,2,5,4623,9707,0.4
"ENSG00000272161.1",492,1,1,0,493,1
"ENSG00000272420.1",567,1,1,0,568,1
"ENSG00000224387.1",958,1,2,504,455,0.5
"ENSG00000229393.1",1042,1,2,529,514,0.5
"ENSG00000272449.2",17396,1,2,15866,1531,0.5
"ENSG00000238164.6",7111,4,15,6610,9328,0.266666666666667
"ENSG00000228037.1",2973,1,3,2348,626,0.333333333333333
"ENSG00000237058.1",4052,1,2,3680,373,0.5
"ENSG00000285945.1",16642,1,3,16050,593,0.333333333333333
"ENSG00000283259.1",2870,1,10,1306,1565,0.1
"ENSG00000233234.1",842,1,2,236,607,0.5
"ENSG00000287396.1",3711,1,2,3049,663,0.5
"ENSG00000231630.1",566,1,2,138,429,0.5
"ENSG00000284745.1",8049,1,3,1249,1509,0.333333333333333
"ENSG00000177133.12",8822,3,14,7488,7748,0.214285714285714
"ENSG00000226286.1",782,1,2,314,469,0.5
"ENSG00000272235.1",3460,1,1,0,3461,1
"ENSG00000287828.1",10097,1,2,9370,728,0.5
"ENSG00000286518.1",6113,1,2,3330,2784,0.5
"ENSG00000272088.1",381,1,1,0,382,1
"ENSG00000238260.1",1553,1,3,932,622,0.333333333333333
"ENSG00000227589.1",9834,1,3,9081,754,0.333333333333333
"ENSG00000235131.1",2098,1,2,1748,351,0.5
"ENSG00000272153.1",530,1,1,0,531,1
"ENSG00000236423.6",16873,2,6,26855,4999,0.333333333333333
"ENSG00000233304.7",14776,2,5,12109,4648,0.4
"ENSG00000226374.3",4477,1,6,2708,1646,0.166666666666667
"ENSG00000284668.2",36571,3,11,78651,2556,0.272727272727273
"ENSG00000284703.1",6587,1,2,1771,4817,0.5
"ENSG00000235054.4",12662,1,6,10560,2077,0.166666666666667
"ENSG00000284694.1",5244,1,2,1843,3402,0.5
"ENSG00000227169.2",410,1,2,55,356,0.5
"ENSG00000232596.3",22535,4,13,66341,4139,0.307692307692308
"ENSG00000287586.1",4781,1,2,505,3030,0.5
"ENSG00000284739.1",9344,1,3,8881,464,0.333333333333333
"ENSG00000284674.1",8187,1,5,6608,1580,0.2
"ENSG00000231510.1",4440,1,4,3992,449,0.25
"ENSG00000284616.1",5466,1,4,4242,1225,0.25
"ENSG00000284692.2",14321,2,6,2199,3040,0.333333333333333
"ENSG00000284666.1",1241,1,2,633,609,0.5
"ENSG00000260972.1",1696,1,1,0,1697,1
"ENSG00000236948.2",106586,2,5,186265,1210,0.4
"ENSG00000226944.1",940,1,3,563,378,0.333333333333333
"ENSG00000225077.3",4752,2,8,4240,3178,0.25
"ENSG00000271746.1",836,1,1,0,837,1
"ENSG00000231868.1",3972,1,3,3622,351,0.333333333333333
"ENSG00000228750.7",5375,2,5,5775,2367,0.4
"ENSG00000284744.1",2084,1,3,1098,987,0.333333333333333
"ENSG00000237436.1",951,1,3,537,415,0.333333333333333
"ENSG00000237365.1",5903,1,2,5555,349,0.5
"ENSG00000237402.1",1328,1,2,964,365,0.5
"ENSG00000237728.2",7267,2,5,7681,824,0.4
"ENSG00000225126.1",458,1,2,98,361,0.5
"ENSG00000270171.1",1720,1,1,0,1721,1
"ENSG00000270035.1",569,1,1,0,570,1
"ENSG00000269978.1",266,1,1,0,267,1
"ENSG00000269925.1",392,1,1,0,393,1
"ENSG00000236266.1",17100,1,3,16271,830,0.333333333333333
"ENSG00000284747.1",14178,2,8,13264,4337,0.25
"ENSG00000284716.1",1747,1,2,705,1043,0.5
"ENSG00000238290.1",95964,1,3,93921,2044,0.333333333333333
"ENSG00000227634.3",13692,2,8,19049,1180,0.25
"ENSG00000233645.1",2339,1,2,1863,477,0.5
"ENSG00000232912.6",10368,1,4,8562,1052,0.25
"ENSG00000228423.2",1191,1,2,839,353,0.5
"ENSG00000230679.1",1059,1,2,604,456,0.5
"ENSG00000228526.7",50895,2,4,44787,8668,0.5
"ENSG00000234546.4",14280,3,9,30856,3267,0.333333333333333
"ENSG00000284652.1",1764,1,1,0,1765,1
"ENSG00000284693.1",15470,1,2,1540,2442,0.5
"ENSG00000235263.1",2379,1,2,1672,708,0.5
"ENSG00000179840.5",1976,1,2,154,1823,0.5
"ENSG00000231789.2",15129,1,3,14191,939,0.333333333333333
"ENSG00000223989.1",1836,1,3,1413,424,0.333333333333333
"ENSG00000285701.1",7420,1,3,6659,762,0.333333333333333
"ENSG00000228150.1",7051,1,2,6612,440,0.5
"ENSG00000241326.1",1427,1,2,992,436,0.5
"ENSG00000284735.1",5244,2,4,1342,2309,0.5
"ENSG00000284642.1",2016,1,2,446,1369,0.5
"ENSG00000271989.1",796,1,1,0,797,1
"ENSG00000203469.2",783,1,2,317,467,0.5
"ENSG00000287727.1",4230,1,2,1355,2876,0.5
"ENSG00000272078.1",15092,1,2,7170,7923,0.5
"ENSG00000226849.1",4626,1,2,1945,2682,0.5
"ENSG00000230337.1",2425,1,2,1890,487,0.5
"ENSG00000225602.5",5639,1,4,4935,705,0.25
"ENSG00000284646.1",7359,1,4,6618,742,0.25
"ENSG00000285833.1",1213,1,2,163,1051,0.5
"ENSG00000235643.2",3890,1,3,2540,1351,0.333333333333333
"ENSG00000284708.1",19858,1,2,17765,2094,0.5
"ENSG00000177553.6",2542,1,3,675,1868,0.333333333333333
"ENSG00000285646.2",6358,3,7,13213,3410,0.428571428571429
"ENSG00000287384.1",594,1,1,0,595,1
"ENSG00000285604.1",3823,1,4,2628,1196,0.25
"ENSG00000229484.1",696,1,2,259,438,0.5
"ENSG00000272482.1",344,1,1,0,345,1
"ENSG00000228338.1",473,1,2,96,378,0.5
"ENSG00000233336.1",479,1,2,96,384,0.5
"ENSG00000228229.2",479,1,2,96,384,0.5
"ENSG00000259961.1",3050,1,3,2574,477,0.333333333333333
"ENSG00000237445.2",2599,1,2,2221,379,0.5
"ENSG00000231606.2",82558,2,6,118415,1952,0.333333333333333
"ENSG00000234593.3",81148,4,16,220853,4327,0.25
"ENSG00000287756.1",3258,1,2,1806,1453,0.5
"ENSG00000175147.13",41803,4,13,130206,18477,0.307692307692308
"ENSG00000204464.7",6973,2,3,9122,696,0.666666666666667
"ENSG00000233485.1",17196,1,2,14092,3105,0.5
"ENSG00000236045.1",1298,1,2,572,727,0.5
"ENSG00000228140.2",6454,1,3,1277,5178,0.333333333333333
"ENSG00000272510.1",345,1,1,0,346,1
"ENSG00000237301.1",17490,1,2,14646,2845,0.5
"ENSG00000271742.1",255,1,1,0,256,1
"ENSG00000237938.5",16584,1,4,13533,645,0.25
"ENSG00000224459.1",9845,1,2,9207,639,0.5
"ENSG00000179743.4",13673,1,2,11201,2473,0.5
"ENSG00000233078.1",511,1,2,46,466,0.5
"ENSG00000227959.1",2118,1,2,1215,904,0.5
"ENSG00000224621.1",2617,1,2,2074,544,0.5
"ENSG00000234166.1",503,1,2,65,439,0.5
"ENSG00000288398.1",2661,1,1,0,2662,1
"ENSG00000226029.1",7533,1,2,4289,3245,0.5
"ENSG00000261135.1",1109,1,1,0,1110,1
"ENSG00000285853.1",6754,1,3,5197,1558,0.333333333333333
"ENSG00000224174.2",1102,1,2,776,327,0.5
"ENSG00000233421.5",1763,1,2,216,1548,0.5
"ENSG00000271732.1",338,1,1,0,339,1
"ENSG00000282143.1",10645,1,3,9829,817,0.333333333333333
"ENSG00000279151.1",4048,1,3,3643,406,0.333333333333333
"ENSG00000282740.1",10651,1,3,9833,819,0.333333333333333
"ENSG00000223643.6",1872,1,4,1074,735,0.25
"ENSG00000228549.5",12714,1,2,615,2520,0.5
"ENSG00000238142.2",2129,2,4,1192,2696,0.5
"ENSG00000272426.1",437,1,1,0,438,1
"ENSG00000286898.1",1490,1,2,1106,385,0.5
"ENSG00000226526.1",26165,1,2,25530,636,0.5
"ENSG00000204362.6",7834,2,6,9168,5266,0.333333333333333
"ENSG00000282843.1",8501,1,5,7274,1228,0.2
"ENSG00000227751.1",622,1,2,312,311,0.5
"ENSG00000236648.2",32353,2,7,7751,1643,0.285714285714286
"ENSG00000284653.1",29900,1,4,27888,2013,0.25
"ENSG00000261781.1",8755,1,3,6285,2471,0.333333333333333
"ENSG00000230035.2",12417,1,4,11988,430,0.25
"ENSG00000225387.1",2685,1,2,2195,491,0.5
"ENSG00000272084.1",3401,1,1,0,3402,1
"ENSG00000230424.1",30203,1,2,29697,507,0.5
"ENSG00000235185.1",5030,1,2,4824,207,0.5
"ENSG00000235434.1",5135,1,2,4689,447,0.5
"ENSG00000227066.2",6397,1,2,382,2493,0.5
"ENSG00000228105.2",1569,1,3,924,621,0.333333333333333
"ENSG00000284710.1",2987,1,3,979,1548,0.333333333333333
"ENSG00000226664.1",28976,1,2,28748,229,0.5
"ENSG00000236963.7",70655,3,19,149812,5330,0.157894736842105
"ENSG00000226487.1",949,1,3,574,376,0.333333333333333
"ENSG00000284641.1",2715,1,2,1152,1156,0.5
"ENSG00000284743.1",1618,1,2,945,674,0.5
"ENSG00000117242.7",9536,1,3,5094,4443,0.333333333333333
"ENSG00000233069.1",1072,1,2,774,299,0.5
"ENSG00000287192.1",1110,1,1,0,1111,1
"ENSG00000236936.1",1169,1,3,447,723,0.333333333333333
"ENSG00000231105.2",6584,1,3,4006,2479,0.333333333333333
"ENSG00000236009.1",1594,1,3,988,607,0.333333333333333
"ENSG00000233431.1",4715,1,2,3895,821,0.5
"ENSG00000285959.1",47011,1,7,45543,1469,0.142857142857143
"ENSG00000228397.3",2058,3,7,917,3544,0.428571428571429
"ENSG00000218510.9",6665,4,9,17690,4870,0.444444444444444
"ENSG00000285752.1",24610,1,3,22037,2574,0.333333333333333
"ENSG00000230068.2",5002,1,2,4311,692,0.5
"ENSG00000285873.1",14551,1,5,13741,811,0.2
"ENSG00000237200.1",2234,1,2,1962,273,0.5
"ENSG00000225952.1",1136,1,2,657,480,0.5
"ENSG00000240553.1",67911,1,2,67246,666,0.5
"ENSG00000261326.4",6181,2,5,2387,9033,0.4
"ENSG00000284726.1",5069,1,2,4466,604,0.5
"ENSG00000249087.7",2842,6,12,7445,5577,0.5
"ENSG00000271420.1",649,1,1,0,650,1
"ENSG00000235052.1",1776,1,2,1321,456,0.5
"ENSG00000285802.1",17185,1,4,15864,1322,0.25
"ENSG00000197880.9",59073,1,7,57293,1781,0.142857142857143
"ENSG00000236810.6",71395,4,12,114326,4621,0.333333333333333
"ENSG00000232557.3",774,1,2,565,210,0.5
"ENSG00000225315.2",45964,1,4,45511,454,0.25
"ENSG00000230703.1",16791,1,3,16331,461,0.333333333333333
"ENSG00000230023.2",11453,1,3,9605,1849,0.333333333333333
"ENSG00000232298.2",14345,1,5,13490,856,0.2
"ENSG00000286061.1",39146,1,3,38572,559,0.333333333333333
"ENSG00000264443.1",17222,1,3,15778,1445,0.333333333333333
"ENSG00000284699.1",12702,1,4,11817,886,0.25
"ENSG00000229162.1",1752,1,3,933,820,0.333333333333333
"ENSG00000261025.1",2442,1,1,0,2443,1
"ENSG00000285823.1",6268,1,3,5161,1108,0.333333333333333
"ENSG00000233755.1",69413,2,5,70972,1104,0.4
"ENSG00000231953.2",1298,1,2,311,988,0.5
"ENSG00000284602.1",2189,1,1,0,2190,1
"ENSG00000284657.1",759,1,1,0,760,1
"ENSG00000272432.1",484,1,1,0,485,1
"ENSG00000225643.1",8878,1,2,8396,483,0.5
"ENSG00000233478.1",14567,1,2,12344,2224,0.5
"ENSG00000228172.5",4048,3,8,5066,3259,0.375
"ENSG00000272478.1",221,1,1,0,222,1
"ENSG00000236528.1",3807,1,2,2959,849,0.5
"ENSG00000284309.1",2434,1,2,1494,941,0.5
"ENSG00000225891.2",5258,2,5,8117,1669,0.4
"ENSG00000260063.1",1999,1,1,0,2000,1
"ENSG00000226698.1",2112,1,2,1807,306,0.5
"ENSG00000224311.1",5246,1,3,4868,379,0.333333333333333
"ENSG00000241169.1",2384,1,2,1957,428,0.5
"ENSG00000237429.1",4756,1,2,4474,283,0.5
"ENSG00000233975.2",5951,1,3,4233,1663,0.333333333333333
"ENSG00000225886.3",33595,1,2,320,489,0.5
"ENSG00000287244.1",934,1,1,0,935,1
"ENSG00000269971.1",183,1,1,0,184,1
"ENSG00000270031.1",358,1,1,0,359,1
"ENSG00000286433.1",3397,1,2,1927,1471,0.5
"ENSG00000227050.1",21318,1,5,20828,491,0.2
"ENSG00000270605.1",1944,1,1,0,1945,1
"ENSG00000271398.1",424,1,1,0,425,1
"ENSG00000242125.3",4912,1,1,2712,2201,1
"ENSG00000197989.14",4594,7,19,17687,6895,0.368421052631579
"ENSG00000229388.1",5353,2,4,6482,1312,0.5
"ENSG00000270103.3",130,1,1,0,131,1
"ENSG00000233427.1",6853,1,3,5769,1085,0.333333333333333
