"transcript_id","5'SS","3'SS","gene_id","NA","TPE"
"ENST00000637377.1","gt","ag","ENSG00000283445.1",0.181818181818182,"0.181818181818182"
"ENST00000637377.1","gt","ag","ENSG00000283445.1",0.181818181818182,"0.181818181818182"
"ENST00000637377.1","gt","ag","ENSG00000283445.1",0.181818181818182,"0.181818181818182"
"ENST00000637377.1","gt","ag","ENSG00000283445.1",0.181818181818182,"0.181818181818182"
"ENST00000637377.1","gt","ag","ENSG00000283445.1",0.181818181818182,"0.181818181818182"
"ENST00000637377.1","gt","ag","ENSG00000283445.1",0.181818181818182,"0.181818181818182"
"ENST00000636386.1","gt","ag","ENSG00000283445.1",0.181818181818182,"0.181818181818182"
"ENST00000636386.1","gt","ag","ENSG00000283445.1",0.181818181818182,"0.181818181818182"
"ENST00000636386.1","gt","ag","ENSG00000283445.1",0.181818181818182,"0.181818181818182"
"ENST00000431862.1","gt","ag","ENSG00000228560.1",0.25,"0.25"
"ENST00000431862.1","gt","ag","ENSG00000228560.1",0.25,"0.25"
"ENST00000431862.1","gt","ag","ENSG00000228560.1",0.25,"0.25"
"ENST00000646606.1","gt","ag","ENSG00000285280.2",0.166666666666667,"0.166666666666667"
"ENST00000646606.1","gt","ag","ENSG00000285280.2",0.166666666666667,"0.166666666666667"
"ENST00000646606.1","gt","ag","ENSG00000285280.2",0.166666666666667,"0.166666666666667"
"ENST00000646606.1","gt","ag","ENSG00000285280.2",0.166666666666667,"0.166666666666667"
"ENST00000646606.1","gt","ag","ENSG00000285280.2",0.166666666666667,"0.166666666666667"
"ENST00000646606.1","gt","ag","ENSG00000285280.2",0.166666666666667,"0.166666666666667"
"ENST00000657453.1","gt","ag","ENSG00000285280.2",0.166666666666667,"0.166666666666667"
"ENST00000657453.1","gt","ag","ENSG00000285280.2",0.166666666666667,"0.166666666666667"
"ENST00000657453.1","gt","ag","ENSG00000285280.2",0.166666666666667,"0.166666666666667"
"ENST00000657453.1","gt","ag","ENSG00000285280.2",0.166666666666667,"0.166666666666667"
"ENST00000657453.1","gt","ag","ENSG00000285280.2",0.166666666666667,"0.166666666666667"
"ENST00000657453.1","gc","ag","ENSG00000285280.2",0.166666666666667,"0.166666666666667"
"ENST00000441672.1","gt","ag","ENSG00000227591.5",0.333333333333333,"0.333333333333333"
"ENST00000441672.1","gt","ag","ENSG00000227591.5",0.333333333333333,"0.333333333333333"
"ENST00000651370.1","gt","ag","ENSG00000286263.1",0.5,"0.5"
"ENST00000453804.1","gt","ag","ENSG00000237938.5",0.25,"0.25"
"ENST00000453804.1","gt","ag","ENSG00000237938.5",0.25,"0.25"
"ENST00000453804.1","gt","ag","ENSG00000237938.5",0.25,"0.25"
"ENST00000650360.1","gt","ag","ENSG00000285959.1",0.142857142857143,"0.142857142857143"
"ENST00000650360.1","gt","ag","ENSG00000285959.1",0.142857142857143,"0.142857142857143"
"ENST00000650360.1","gt","ag","ENSG00000285959.1",0.142857142857143,"0.142857142857143"
"ENST00000650360.1","gt","ag","ENSG00000285959.1",0.142857142857143,"0.142857142857143"
"ENST00000650360.1","gt","ag","ENSG00000285959.1",0.142857142857143,"0.142857142857143"
"ENST00000650360.1","gt","ag","ENSG00000285959.1",0.142857142857143,"0.142857142857143"
"ENST00000650360.1","gt","ag","ENSG00000285959.1",0.142857142857143,"0.142857142857143"
"ENST00000650360.1","gt","ag","ENSG00000285959.1",0.142857142857143,"0.142857142857143"
"ENST00000427154.1","gt","ag","ENSG00000240553.1",0.5,"0.5"
"ENST00000641481.1","gt","ag","ENSG00000284632.1",0.333333333333333,"0.333333333333333"
"ENST00000641481.1","gt","ag","ENSG00000284632.1",0.333333333333333,"0.333333333333333"
"ENST00000641481.1","gt","ag","ENSG00000284632.1",0.333333333333333,"0.333333333333333"
"ENST00000641963.1","gt","ag","ENSG00000284632.1",0.333333333333333,"0.333333333333333"
"ENST00000641963.1","gt","ag","ENSG00000284632.1",0.333333333333333,"0.333333333333333"
"ENST00000653200.1","gt","ag","ENSG00000227533.6",0.375,"0.375"
"ENST00000653200.1","gt","ag","ENSG00000227533.6",0.375,"0.375"
"ENST00000653200.1","gt","ag","ENSG00000227533.6",0.375,"0.375"
"ENST00000664148.1","gt","ag","ENSG00000227533.6",0.375,"0.375"
"ENST00000664148.1","gt","ag","ENSG00000227533.6",0.375,"0.375"
"ENST00000657086.1","gt","ag","ENSG00000230615.7",0.285714285714286,"0.285714285714286"
"ENST00000452785.2","gt","ag","ENSG00000227857.2",0.5,"0.5"
"ENST00000646341.1","gt","ag","ENSG00000234810.4",0.230769230769231,"0.230769230769231"
"ENST00000646341.1","gt","ag","ENSG00000234810.4",0.230769230769231,"0.230769230769231"
"ENST00000646341.1","gt","ag","ENSG00000234810.4",0.230769230769231,"0.230769230769231"
"ENST00000443012.1","gt","ag","ENSG00000226883.1",0.5,"0.5"
"ENST00000635290.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000635290.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000635290.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000635290.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000635290.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000635290.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000635290.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000635290.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000634701.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000634701.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000634701.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000634701.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000634701.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000634701.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000634701.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000634701.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000634701.1","gt","ag","ENSG00000231252.3",0.153846153846154,"0.153846153846154"
"ENST00000420587.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000420587.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000420587.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000420587.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000420587.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000420587.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000420587.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000420587.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000420587.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000413628.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000413628.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000413628.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000413628.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000413628.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000413628.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000413628.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000413628.5","gt","ag","ENSG00000232284.7",0.1875,"0.1875"
"ENST00000661832.1","gt","ag","ENSG00000223883.2",0.1875,"0.1875"
"ENST00000661832.1","gt","ag","ENSG00000223883.2",0.1875,"0.1875"
"ENST00000661832.1","gt","ag","ENSG00000223883.2",0.1875,"0.1875"
"ENST00000661832.1","gt","ag","ENSG00000223883.2",0.1875,"0.1875"
"ENST00000661832.1","gt","ag","ENSG00000223883.2",0.1875,"0.1875"
"ENST00000661832.1","gt","ag","ENSG00000223883.2",0.1875,"0.1875"
"ENST00000661832.1","gt","ag","ENSG00000223883.2",0.1875,"0.1875"
"ENST00000661832.1","gt","ag","ENSG00000223883.2",0.1875,"0.1875"
"ENST00000654734.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000654734.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000654734.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000654734.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000654734.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000654734.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000671179.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000671179.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000671179.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000671179.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000671179.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000671179.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000583678.6","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000583678.6","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000583678.6","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000583678.6","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000583678.6","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000583678.6","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000670550.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000670550.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000670550.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000670550.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000670550.1","gt","ag","ENSG00000229956.11",0.285714285714286,"0.285714285714286"
"ENST00000653965.1","gt","ag","ENSG00000286863.1",0.181818181818182,"0.181818181818182"
"ENST00000653965.1","gt","ag","ENSG00000286863.1",0.181818181818182,"0.181818181818182"
"ENST00000653965.1","gt","ag","ENSG00000286863.1",0.181818181818182,"0.181818181818182"
"ENST00000653965.1","gt","ag","ENSG00000286863.1",0.181818181818182,"0.181818181818182"
"ENST00000653965.1","gt","ag","ENSG00000286863.1",0.181818181818182,"0.181818181818182"
"ENST00000653965.1","gt","ag","ENSG00000286863.1",0.181818181818182,"0.181818181818182"
"ENST00000665984.1","gt","ag","ENSG00000286863.1",0.181818181818182,"0.181818181818182"
"ENST00000665984.1","gt","ag","ENSG00000286863.1",0.181818181818182,"0.181818181818182"
"ENST00000665984.1","gt","ag","ENSG00000286863.1",0.181818181818182,"0.181818181818182"
"ENST00000665984.1","gt","ag","ENSG00000286863.1",0.181818181818182,"0.181818181818182"
"ENST00000665984.1","gt","ag","ENSG00000286863.1",0.181818181818182,"0.181818181818182"
"ENST00000665984.1","gt","ag","ENSG00000286863.1",0.181818181818182,"0.181818181818182"
"ENST00000650063.1","gt","ag","ENSG00000233290.3",0.181818181818182,"0.181818181818182"
"ENST00000650063.1","gt","ag","ENSG00000233290.3",0.181818181818182,"0.181818181818182"
"ENST00000650063.1","gt","ag","ENSG00000233290.3",0.181818181818182,"0.181818181818182"
"ENST00000650063.1","gt","ag","ENSG00000233290.3",0.181818181818182,"0.181818181818182"
"ENST00000650063.1","gt","ag","ENSG00000233290.3",0.181818181818182,"0.181818181818182"
"ENST00000650063.1","gt","ag","ENSG00000233290.3",0.181818181818182,"0.181818181818182"
"ENST00000642677.1","gt","ag","ENSG00000237505.8",0.210526315789474,"0.210526315789474"
"ENST00000642677.1","gt","ag","ENSG00000237505.8",0.210526315789474,"0.210526315789474"
"ENST00000642677.1","gt","ag","ENSG00000237505.8",0.210526315789474,"0.210526315789474"
"ENST00000642677.1","gt","ag","ENSG00000237505.8",0.210526315789474,"0.210526315789474"
"ENST00000642677.1","gt","ag","ENSG00000237505.8",0.210526315789474,"0.210526315789474"
"ENST00000642677.1","gt","ag","ENSG00000237505.8",0.210526315789474,"0.210526315789474"
"ENST00000645056.1","gt","ag","ENSG00000237505.8",0.210526315789474,"0.210526315789474"
"ENST00000645056.1","gt","ag","ENSG00000237505.8",0.210526315789474,"0.210526315789474"
"ENST00000645056.1","gt","ag","ENSG00000237505.8",0.210526315789474,"0.210526315789474"
"ENST00000645056.1","gt","ag","ENSG00000237505.8",0.210526315789474,"0.210526315789474"
"ENST00000645056.1","gt","ag","ENSG00000237505.8",0.210526315789474,"0.210526315789474"
"ENST00000654891.1","gt","ag","ENSG00000286802.1",0.5,"0.5"
"ENST00000451302.6","gc","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000451302.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000451302.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000451302.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000451302.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000451302.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000451302.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000451302.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000451302.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000451302.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000661111.1","gc","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000661111.1","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000661111.1","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000661111.1","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000661111.1","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000661111.1","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000661111.1","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000661111.1","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000661111.1","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000661111.1","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000421202.6","gc","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000421202.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000421202.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000421202.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000421202.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000421202.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000421202.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000421202.6","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000436200.2","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000436200.2","gc","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000436200.2","gt","ag","ENSG00000223745.8",0.166666666666667,"0.166666666666667"
"ENST00000656153.1","gt","ag","ENSG00000226835.3",0.263157894736842,"0.263157894736842"
"ENST00000656153.1","gt","ag","ENSG00000226835.3",0.263157894736842,"0.263157894736842"
"ENST00000656153.1","gt","ag","ENSG00000226835.3",0.263157894736842,"0.263157894736842"
"ENST00000656153.1","gt","ag","ENSG00000226835.3",0.263157894736842,"0.263157894736842"
"ENST00000656153.1","gt","ag","ENSG00000226835.3",0.263157894736842,"0.263157894736842"
"ENST00000656153.1","gt","ag","ENSG00000226835.3",0.263157894736842,"0.263157894736842"
"ENST00000648951.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000648951.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000648951.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000648951.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000648951.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000648951.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000648951.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000648951.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000648951.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000657394.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000657394.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000657394.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000657394.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000657394.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000657394.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000657394.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000663157.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000663157.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000663157.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000663157.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000656484.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000656484.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000656484.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000656484.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000656484.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000656484.1","gt","ag","ENSG00000226715.4",0.210526315789474,"0.210526315789474"
"ENST00000554808.1","gt","ag","ENSG00000258673.1",0.25,"0.25"
"ENST00000554808.1","gt","ag","ENSG00000258673.1",0.25,"0.25"
"ENST00000554808.1","gt","ag","ENSG00000258673.1",0.25,"0.25"
"ENST00000425449.1","gt","ag","ENSG00000228035.1",0.5,"0.5"
"ENST00000675607.1","gt","ag","ENSG00000203865.11",0.304347826086957,"0.304347826086957"
"ENST00000675607.1","gt","ag","ENSG00000203865.11",0.304347826086957,"0.304347826086957"
"ENST00000675607.1","gt","ag","ENSG00000203865.11",0.304347826086957,"0.304347826086957"
"ENST00000675742.1","gt","ag","ENSG00000203865.11",0.304347826086957,"0.304347826086957"
"ENST00000675742.1","gt","ag","ENSG00000203865.11",0.304347826086957,"0.304347826086957"
"ENST00000675742.1","gt","ag","ENSG00000203865.11",0.304347826086957,"0.304347826086957"
"ENST00000441760.2","gt","ag","ENSG00000224363.2",0.25,"0.25"
"ENST00000441760.2","gt","ag","ENSG00000224363.2",0.25,"0.25"
"ENST00000441760.2","gt","ag","ENSG00000224363.2",0.25,"0.25"
"ENST00000650631.1","gt","ag","ENSG00000285622.1",0.142857142857143,"0.142857142857143"
"ENST00000650631.1","gt","ag","ENSG00000285622.1",0.142857142857143,"0.142857142857143"
"ENST00000650631.1","gt","ag","ENSG00000285622.1",0.142857142857143,"0.142857142857143"
"ENST00000650631.1","gt","ag","ENSG00000285622.1",0.142857142857143,"0.142857142857143"
