"Gene","Gene_length","Transcript","Exon","A3","A5","AF","AL","MX","RI","SE"
"ENSMUSG00000089699.2",46966,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000102331.2",11595,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000102343.2",80476,2,5,"0","0","0","1","0","0","0"
"ENSMUSG00000104238.2",3007,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000104328.2",3123,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000085623.2",5963,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000090031.3",5427,2,3,"0","0","0","0","0","0","0"
"ENSMUSG00000097797.7",48463,3,10,"0","0","0","0","0","0","0"
"ENSMUSG00000103067.2",20181,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000079671.9",70343,2,7,"0","0","0","0","0","0","0"
"ENSMUSG00000099827.2",1327,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000097893.9",44276,3,14,"0","0","0","0","0","0","0"
"ENSMUSG00000098234.8",2159,2,6,"0","0","0","0","0","0","1"
"ENSMUSG00000087199.2",9979,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000097171.2",5527,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000101314.2",852,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000099498.2",9824,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000101476.2",12343,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000054493.3",23994,2,6,"0","0","0","0","0","0","0"
"ENSMUSG00000100868.2",15556,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000089982.8",14329,2,6,"0","0","0","0","0","0","0"
"ENSMUSG00000097744.2",4726,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000101640.2",193446,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100110.2",4209,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000099899.2",4700,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000100053.2",25997,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000085125.8",51619,3,11,"0","0","0","1","0","0","0"
"ENSMUSG00000099895.2",63502,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000109887.2",64594,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000089787.3",41540,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000100538.2",1044,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000089914.3",35848,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000099906.3",14416,2,4,"0","0","0","0","0","0","0"
"ENSMUSG00000102121.2",3028,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000097934.2",1823,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000099971.2",1634,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000099343.2",21234,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101227.2",187378,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000097970.2",398,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000100775.2",346,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000099503.2",22077,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000100483.2",1949,2,4,"0","0","0","1","0","0","0"
"ENSMUSG00000099392.2",651,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000101514.2",18350,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000053185.3",1402,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100237.2",1756,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000100910.2",14079,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000102917.2",1220,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000104230.2",2701,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000096992.4",12590,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000104397.2",874,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000102336.2",6262,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000101711.2",5219,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000100280.3",4314,2,5,"0","0","0","0","0","0","0"
"ENSMUSG00000101223.7",8766,2,8,"0","0","0","0","0","0","0"
"ENSMUSG00000045815.5",509,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000104002.3",2548,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000104417.2",25691,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000101714.2",3488,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000102531.2",1274,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000102279.2",4413,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000103708.2",8059,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000104201.2",822,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000104523.2",1062,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000102202.2",6704,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000102762.2",712,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000102845.2",703,1,2,"0","0","0","0","0","0","0"
"ENSMUSG00000087589.4",7912,1,3,"0","0","0","0","0","0","0"
