"gene_id","transcript_id","intron_length","exon_length"
"ENSMUSG00000089699.2","ENSMUST00000161581.2","46717","250"
"ENSMUSG00000102331.2","ENSMUST00000192692.2","8337","3259"
"ENSMUSG00000102343.2","ENSMUST00000194643.2","79820","657"
"ENSMUSG00000102343.2","ENSMUST00000192427.2","861","899"
"ENSMUSG00000104238.2","ENSMUST00000194935.2","1610","475"
"ENSMUSG00000104328.2","ENSMUST00000195771.2","351","2773"
"ENSMUSG00000085623.2","ENSMUST00000144339.2","2239","3725"
"ENSMUSG00000090031.3","ENSMUST00000191825.2",0,"5428"
"ENSMUSG00000090031.3","ENSMUST00000159618.2","885","413"
"ENSMUSG00000097797.7","ENSMUST00000181554.2","47203","1193"
"ENSMUSG00000097797.7","ENSMUST00000193106.6","21654","256"
"ENSMUSG00000097797.7","ENSMUST00000193732.2","21351","631"
"ENSMUSG00000103067.2","ENSMUST00000194886.2","17586","2596"
"ENSMUSG00000079671.9","ENSMUST00000115480.8","69015","1246"
"ENSMUSG00000079671.9","ENSMUST00000148585.8","27257","3475"
"ENSMUSG00000099827.2","ENSMUST00000191209.2","261","1067"
"ENSMUSG00000097893.9","ENSMUST00000181358.8","42020","1343"
"ENSMUSG00000097893.9","ENSMUST00000189431.2","21954","555"
"ENSMUSG00000097893.9","ENSMUST00000207445.2","42190","1146"
"ENSMUSG00000098234.8","ENSMUST00000182580.8","1687","473"
"ENSMUSG00000098234.8","ENSMUST00000182819.8","385","816"
"ENSMUSG00000087199.2","ENSMUST00000134692.2","9324","656"
"ENSMUSG00000097171.2","ENSMUST00000181272.2","2328","3200"
"ENSMUSG00000101314.2","ENSMUST00000186962.2",0,"853"
"ENSMUSG00000099498.2","ENSMUST00000187394.2","9537","288"
"ENSMUSG00000101476.2","ENSMUST00000185813.2","11663","681"
"ENSMUSG00000054493.3","ENSMUST00000187401.2","23308","687"
"ENSMUSG00000054493.3","ENSMUST00000067599.2",0,"2920"
"ENSMUSG00000100868.2","ENSMUST00000186343.2","14042","1515"
"ENSMUSG00000089982.8","ENSMUST00000161626.2","4855","415"
"ENSMUSG00000089982.8","ENSMUST00000160446.8","13621","709"
"ENSMUSG00000097744.2","ENSMUST00000181371.2","1939","2788"
"ENSMUSG00000101640.2","ENSMUST00000186604.2","193271","176"
"ENSMUSG00000100110.2","ENSMUST00000188872.2","3851","359"
"ENSMUSG00000099899.2","ENSMUST00000187817.2","3690","1011"
"ENSMUSG00000100053.2","ENSMUST00000186267.2","21780","4218"
"ENSMUSG00000085125.8","ENSMUST00000155588.8","49356","1902"
"ENSMUSG00000085125.8","ENSMUST00000127328.2","29533","5210"
"ENSMUSG00000085125.8","ENSMUST00000149914.2","126","2146"
"ENSMUSG00000099895.2","ENSMUST00000189853.2","62874","629"
"ENSMUSG00000109887.2","ENSMUST00000209405.2","62134","2461"
"ENSMUSG00000089787.3","ENSMUST00000159108.3","40623","918"
"ENSMUSG00000100538.2","ENSMUST00000189218.2","843","202"
"ENSMUSG00000089914.3","ENSMUST00000161509.3","35061","788"
"ENSMUSG00000099906.3","ENSMUST00000227082.2","12556","521"
"ENSMUSG00000099906.3","ENSMUST00000185494.2",0,"5276"
"ENSMUSG00000102121.2","ENSMUST00000185290.2","2196","833"
"ENSMUSG00000097934.2","ENSMUST00000181654.2","704","1120"
"ENSMUSG00000099971.2","ENSMUST00000186612.2","1089","546"
"ENSMUSG00000099343.2","ENSMUST00000185842.2","20602","633"
"ENSMUSG00000101227.2","ENSMUST00000191045.2","185301","2078"
"ENSMUSG00000097970.2","ENSMUST00000182303.2",0,"399"
"ENSMUSG00000100775.2","ENSMUST00000190910.2",0,"347"
"ENSMUSG00000099503.2","ENSMUST00000191140.2","21300","778"
"ENSMUSG00000100483.2","ENSMUST00000186563.2","1127","641"
"ENSMUSG00000100483.2","ENSMUST00000189477.2","415","748"
"ENSMUSG00000099392.2","ENSMUST00000185379.2","204","448"
"ENSMUSG00000101514.2","ENSMUST00000185409.2","16349","2002"
"ENSMUSG00000053185.3","ENSMUST00000065469.3","242","1161"
"ENSMUSG00000100237.2","ENSMUST00000191364.2","1172","585"
"ENSMUSG00000100910.2","ENSMUST00000186448.2","11222","2858"
"ENSMUSG00000102917.2","ENSMUST00000195240.2",0,"1221"
"ENSMUSG00000104230.2","ENSMUST00000193283.2","2052","650"
"ENSMUSG00000096992.4","ENSMUST00000181692.3","10666","1750"
"ENSMUSG00000104397.2","ENSMUST00000193131.2","445","430"
"ENSMUSG00000102336.2","ENSMUST00000192173.2",0,"6263"
"ENSMUSG00000101711.2","ENSMUST00000191315.2","4691","529"
"ENSMUSG00000100280.3","ENSMUST00000185218.2","2209","785"
"ENSMUSG00000100280.3","ENSMUST00000185881.2","1066","538"
"ENSMUSG00000101223.7","ENSMUST00000188292.7","7519","926"
"ENSMUSG00000101223.7","ENSMUST00000186117.2","4454","498"
"ENSMUSG00000045815.5","ENSMUST00000186712.2",0,"510"
"ENSMUSG00000104002.3","ENSMUST00000193040.3",0,"2549"
"ENSMUSG00000104417.2","ENSMUST00000195168.2","25052","640"
"ENSMUSG00000101714.2","ENSMUST00000187528.2","3037","452"
"ENSMUSG00000102531.2","ENSMUST00000194261.2","709","566"
"ENSMUSG00000102279.2","ENSMUST00000192572.2","3951","463"
