"gene_id","transcript_id","intron_length","exon_length"
"ENSG00000186092.7","ENST00000641515.2","3549","2618"
"ENSG00000284733.2","ENST00000426406.4",0,"939"
"ENSG00000284662.1","ENST00000332831.4",0,"995"
"ENSG00000187634.13","ENST00000616016.5","17187","3465"
"ENSG00000187634.13","ENST00000618323.5","17184","3468"
"ENSG00000187634.13","ENST00000342066.8","16287","2557"
"ENSG00000188976.11","ENST00000327044.7","12297","2757"
"ENSG00000187961.14","ENST00000338591.8","2569","2567"
"ENSG00000187961.14","ENST00000622660.1","3014","1950"
"ENSG00000187583.11","ENST00000379410.8","6208","3176"
"ENSG00000187583.11","ENST00000379407.7","6313","2194"
"ENSG00000187583.11","ENST00000379409.6","6052","2455"
"ENSG00000187642.9","ENST00000341290.6","3855","3035"
"ENSG00000187642.9","ENST00000433179.3","2485","3340"
"ENSG00000188290.11","ENST00000428771.6","171","1040"
"ENSG00000188290.11","ENST00000304952.11","249","885"
"ENSG00000188290.11","ENST00000484667.2","345","667"
"ENSG00000187608.10","ENST00000624697.4","12616","787"
"ENSG00000187608.10","ENST00000649529.1","407","637"
"ENSG00000188157.15","ENST00000379370.7","28671","7326"
"ENSG00000188157.15","ENST00000620552.4","28602","7394"
"ENSG00000237330.3","ENST00000453464.3","1440","1900"
"ENSG00000131591.18","ENST00000379339.5","31835","2429"
"ENSG00000131591.18","ENST00000421241.7","32435","1832"
"ENSG00000131591.18","ENST00000379320.5","7616","2324"
"ENSG00000131591.18","ENST00000379319.5","22331","1097"
"ENSG00000162571.14","ENST00000379290.6","21750","2307"
"ENSG00000162571.14","ENST00000379289.6","21769","2288"
"ENSG00000162571.14","ENST00000379288.3","4054","2114"
"ENSG00000186891.14","ENST00000328596.10","2213","851"
"ENSG00000186891.14","ENST00000379268.7","2002","1083"
"ENSG00000186891.14","ENST00000486728.5","1110","727"
"ENSG00000186891.14","ENST00000379265.5","2023","705"
"ENSG00000186827.11","ENST00000379236.4","1739","1075"
"ENSG00000078808.19","ENST00000660930.1","13022","2137"
"ENSG00000078808.19","ENST00000360001.12","13138","1933"
"ENSG00000078808.19","ENST00000263741.12","13022","2079"
"ENSG00000176022.7","ENST00000379198.5",0,"2805"
"ENSG00000184163.3","ENST00000330388.2","3234","1036"
"ENSG00000160087.21","ENST00000349431.11","17683","2260"
"ENSG00000160087.21","ENST00000347370.6","17554","2387"
"ENSG00000160087.21","ENST00000400929.6","17814","1057"
"ENSG00000160087.21","ENST00000360466.6","17516","1047"
"ENSG00000160087.21","ENST00000400930.8","17635","1021"
"ENSG00000162572.21","ENST00000379116.10","8540","3050"
"ENSG00000162572.21","ENST00000338555.6","7962","3475"
"ENSG00000162572.21","ENST00000400928.7","8075","2731"
"ENSG00000162572.21","ENST00000325425.12","7237","2679"
"ENSG00000131584.19","ENST00000354700.10","11747","3793"
"ENSG00000131584.19","ENST00000353662.4","7417","2280"
"ENSG00000169972.12","ENST00000379031.10","1824","1257"
"ENSG00000127054.21","ENST00000540437.5","10474","2629"
"ENSG00000127054.21","ENST00000545578.5","10840","2263"
"ENSG00000127054.21","ENST00000620829.4","11241","1862"
"ENSG00000127054.21","ENST00000618806.4","11580","1523"
"ENSG00000127054.21","ENST00000435064.6","10947","2114"
"ENSG00000127054.21","ENST00000411962.5","11241","1832"
"ENSG00000127054.21","ENST00000421495.6","11164","1868"
"ENSG00000127054.21","ENST00000419704.5","11250","1798"
"ENSG00000127054.21","ENST00000450926.6","11013","1839"
"ENSG00000127054.21","ENST00000429572.5","4884","1104"
"ENSG00000224051.7","ENST00000343938.9","1941","2154"
"ENSG00000169962.5","ENST00000339381.6","560","3475"
"ENSG00000107404.20","ENST00000378891.9","10911","2926"
"ENSG00000107404.20","ENST00000378888.10","10836","3305"
"ENSG00000107404.20","ENST00000610709.2","11589","2268"
"ENSG00000162576.17","ENST00000342753.8","3875","2231"
"ENSG00000162576.17","ENST00000309212.11","3572","2293"
"ENSG00000162576.17","ENST00000445648.5","3851","2001"
"ENSG00000162576.17","ENST00000477278.3","6358","2728"
"ENSG00000175756.13","ENST00000338370.7","356","1072"
"ENSG00000175756.13","ENST00000338338.9","719","1047"
"ENSG00000175756.13","ENST00000321751.9","640","798"
"ENSG00000175756.13","ENST00000378853.3","562","875"
"ENSG00000221978.12","ENST00000400809.8","10513","3112"
"ENSG00000221978.12","ENST00000408952.8","2584","1857"
"ENSG00000221978.12","ENST00000408918.8","5844","1186"
"ENSG00000242485.6","ENST00000344843.12","4685","700"
"ENSG00000242485.6","ENST00000482352.1","1133","1049"
"ENSG00000235098.9","ENST00000537107.6","833","2024"
"ENSG00000235098.9","ENST00000520296.5","1393","1632"
"ENSG00000235098.9","ENST00000427211.3","1374","1976"
"ENSG00000235098.9","ENST00000454272.2","706","1506"
"ENSG00000235098.9","ENST00000442470.1","1247","876"
"ENSG00000205116.4","ENST00000378821.4","1168","3217"
"ENSG00000179403.12","ENST00000338660.5","3096","2147"
"ENSG00000179403.12","ENST00000476993.2","2701","4492"
"ENSG00000215915.10","ENST00000378785.7","16611","3864"
"ENSG00000160072.20","ENST00000673477.1","21986","4098"
"ENSG00000160072.20","ENST00000308647.8","22304","2114"
"ENSG00000197785.14","ENST00000378756.8","20043","2481"
"ENSG00000197785.14","ENST00000378755.9","19899","2612"
"ENSG00000197785.14","ENST00000536055.6","19826","2330"
"ENSG00000205090.9","ENST00000378733.9","4466","1381"
"ENSG00000205090.9","ENST00000425828.1","4530","717"
"ENSG00000205090.9","ENST00000624426.1","499","796"
"ENSG00000160075.12","ENST00000291386.4","31907","1284"
"ENSG00000160075.12","ENST00000359060.5","9561","4176"
"ENSG00000228594.4","ENST00000422725.4",0,"2124"
"ENSG00000197530.13","ENST00000355826.10","11900","3206"
"ENSG00000197530.13","ENST00000505820.7","11858","3248"
"ENSG00000197530.13","ENST00000518681.6","12053","3053"
"ENSG00000197530.13","ENST00000520777.6","11870","3236"
"ENSG00000197530.13","ENST00000378712.5","11810","2890"
"ENSG00000197530.13","ENST00000504599.6","10984","3311"
"ENSG00000197530.13","ENST00000378708.5","10033","3012"
"ENSG00000189409.14","ENST00000356026.10","1234","1248"
"ENSG00000189409.14","ENST00000378675.7","1167","1309"
"ENSG00000248333.9","ENST00000341832.11","20788","2992"
"ENSG00000248333.9","ENST00000407249.7","20749","2677"
"ENSG00000248333.9","ENST00000340677.9","20741","2534"
"ENSG00000248333.9","ENST00000626918.2","20818","2457"
"ENSG00000248333.9","ENST00000629289.2","20785","2490"
"ENSG00000248333.9","ENST00000629312.2","20779","2496"
"ENSG00000189339.12","ENST00000614300.4","31040","2156"
"ENSG00000189339.12","ENST00000617444.5","24884","6434"
"ENSG00000189339.12","ENST00000611123.1","25302","5948"
"ENSG00000008128.23","ENST00000404249.8","18995","2984"
"ENSG00000008128.23","ENST00000356200.7","17449","2653"
"ENSG00000008128.23","ENST00000378638.6","17522","2429"
"ENSG00000008128.23","ENST00000357760.6","18998","2446"
"ENSG00000008128.23","ENST00000358779.9","19025","2419"
"ENSG00000008128.23","ENST00000378633.5","18986","2458"
"ENSG00000008130.15","ENST00000341426.9","24004","3235"
"ENSG00000008130.15","ENST00000341991.7","24461","3098"
"ENSG00000008130.15","ENST00000378625.5","25185","3653"
"ENSG00000078369.18","ENST00000610897.4","102688","3145"
"ENSG00000078369.18","ENST00000615252.4","102785","3048"
"ENSG00000078369.18","ENST00000378609.9","102639","3163"
"ENSG00000169885.10","ENST00000307786.8","1367","670"
