"Gene","Gene_length","Transcript","Exon","A3","A5","AF","AL","MX","RI","SE"
"ENSG00000186092.7",6166,1,3,"0","0","0","0","0","0","0"
"ENSG00000284733.2",938,1,1,"0","0","0","0","0","0","0"
"ENSG00000284662.1",994,1,1,"0","0","0","0","0","0","0"
"ENSG00000187634.13",20652,2,17,"0","0","0","0","0","0","0"
"ENSG00000188976.11",15106,1,19,"0","0","0","0","0","0","0"
"ENSG00000187961.14",5135,2,16,"0","0","0","0","0","0","0"
"ENSG00000187583.11",9383,2,20,"0","0","0","0","0","1","0"
"ENSG00000187642.9",6889,2,7,"0","0","0","0","0","0","1"
"ENSG00000188290.11",1210,3,8,"0","0","0","0","0","0","2"
"ENSG00000187608.10",13402,2,4,"0","0","0","0","0","0","0"
"ENSG00000188157.15",35998,2,41,"0","0","0","0","0","0","0"
"ENSG00000237330.3",3339,1,2,"0","0","0","0","0","0","0"
"ENSG00000131591.18",34543,4,19,"0","1","1","0","0","0","0"
"ENSG00000162571.14",24056,2,19,"0","0","0","0","0","0","0"
"ENSG00000186891.14",3084,4,10,"0","0","0","0","0","0","0"
"ENSG00000186827.11",2813,1,7,"0","0","0","0","0","0","0"
"ENSG00000078808.19",15158,3,11,"1","0","0","0","0","0","0"
"ENSG00000176022.7",2804,1,1,"0","0","0","0","0","0","0"
"ENSG00000184163.3",4276,1,8,"0","0","0","0","0","0","0"
"ENSG00000160087.21",19955,5,16,"0","1","2","0","0","0","1"
"ENSG00000162572.21",11593,4,23,"0","1","0","0","0","0","0"
"ENSG00000131584.19",17219,2,26,"0","0","0","0","0","0","0"
"ENSG00000169972.12",3080,1,8,"0","0","0","0","0","0","0"
"ENSG00000127054.21",13102,7,39,"0","0","0","2","1","0","2"
"ENSG00000224051.7",4140,1,3,"0","0","0","0","0","0","0"
"ENSG00000169962.5",4034,1,6,"0","0","0","0","0","0","0"
"ENSG00000107404.20",14142,3,22,"0","0","0","0","0","0","1"
"ENSG00000162576.17",9088,4,17,"1","0","0","0","0","0","0"
"ENSG00000175756.13",1765,4,9,"0","1","0","0","0","0","0"
"ENSG00000221978.12",13624,3,20,"0","0","0","0","0","1","1"
"ENSG00000242485.6",5384,2,6,"0","0","0","0","0","0","1"
"ENSG00000235098.9",3349,5,11,"0","0","0","0","0","0","1"
"ENSG00000205116.4",4384,1,2,"0","0","0","0","0","0","0"
"ENSG00000179403.12",8021,2,6,"1","0","0","0","0","0","0"
"ENSG00000215915.10",20474,1,12,"0","0","0","0","0","0","0"
"ENSG00000160072.20",26083,2,20,"0","0","0","0","0","0","0"
"ENSG00000197785.14",22523,3,19,"0","0","0","0","0","0","0"
"ENSG00000205090.9",5846,3,9,"0","0","0","1","0","0","0"
"ENSG00000160075.12",33190,2,7,"0","0","0","0","0","0","0"
"ENSG00000228594.4",2123,1,1,"0","0","0","0","0","0","0"
"ENSG00000197530.13",15151,4,26,"0","0","0","0","0","0","0"
"ENSG00000189409.14",3100,2,10,"0","0","0","0","0","1","1"
"ENSG00000248333.9",23787,3,36,"0","0","0","0","0","0","0"
"ENSG00000189339.12",33266,3,14,"0","0","0","0","0","0","0"
"ENSG00000008128.23",21978,4,28,"0","0","0","0","0","0","0"
"ENSG00000008130.15",29225,3,18,"0","0","0","0","0","0","0"
"ENSG00000078369.18",105832,2,14,"0","0","0","0","0","0","0"
"ENSG00000169885.10",2188,1,6,"0","0","0","0","0","0","0"
"ENSG00000178821.13",1689,2,7,"0","0","0","0","0","0","0"
"ENSG00000142609.19",81886,2,41,"0","0","0","0","0","0","0"
"ENSG00000187730.9",11429,4,17,"1","0","0","0","1","0","0"
"ENSG00000067606.17",134984,1,15,"0","0","0","0","0","0","0"
"ENSG00000162585.17",28259,2,6,"0","0","0","0","0","0","0"
"ENSG00000157933.10",81894,1,7,"0","0","0","0","0","0","0"
"ENSG00000116151.14",70454,2,16,"0","0","0","0","0","0","0"
"ENSG00000157916.20",13667,5,16,"1","0","0","0","1","0","0"
"ENSG00000157911.11",9833,3,10,"0","0","0","0","0","0","1"
"ENSG00000149527.18",79552,3,29,"0","0","0","0","0","0","0"
"ENSG00000157881.16",18060,1,21,"0","0","0","0","0","0","0"
"ENSG00000197921.6",1518,1,3,"0","0","0","0","0","0","0"
"ENSG00000157873.18",9743,2,11,"0","0","0","0","0","0","0"
"ENSG00000157870.17",4978,5,17,"0","0","0","0","0","0","1"
"ENSG00000142606.16",42377,2,27,"0","0","0","0","0","0","0"
"ENSG00000215912.12",165741,2,11,"0","0","0","0","0","0","0"
"ENSG00000169717.7",1436,1,1,"0","0","0","0","0","0","0"
"ENSG00000142611.17",369453,4,24,"0","0","0","1","0","0","0"
"ENSG00000130762.15",26448,3,17,"0","0","0","0","0","0","0"
"ENSG00000162591.16",123557,2,40,"0","0","0","0","0","0","0"
"ENSG00000158109.15",5112,2,6,"0","0","0","0","0","0","0"
"ENSG00000116213.16",21994,2,14,"0","0","0","0","0","0","0"
"ENSG00000078900.15",83685,8,23,"0","0","3","0","0","0","0"
"ENSG00000162592.10",25185,1,12,"0","0","0","0","0","0","0"
"ENSG00000235169.11",3233,3,8,"0","0","0","0","0","0","1"
"ENSG00000130764.10",17939,1,7,"0","0","0","0","0","0","0"
"ENSG00000116198.14",45310,8,36,"0","0","0","10","0","0","0"
"ENSG00000169598.17",28162,3,12,"0","0","0","0","0","0","0"
"ENSG00000198912.12",11168,3,9,"1","0","0","0","0","0","2"
"ENSG00000196581.11",137925,2,8,"0","0","0","0","0","0","0"
"ENSG00000131697.18",129662,2,33,"0","0","0","0","0","0","0"
"ENSG00000069424.15",110266,21,58,"2","0","23","15","1","0","2"
"ENSG00000116254.18",78534,1,42,"0","0","0","0","0","0","0"
"ENSG00000285629.1",38327,1,4,"0","0","0","0","0","0","0"
"ENSG00000116251.11",24369,2,5,"0","0","0","0","0","0","0"
"ENSG00000158286.13",15824,1,18,"0","0","0","0","0","0","0"
"ENSG00000116237.16",14779,1,5,"0","0","0","0","0","0","0"
"ENSG00000173673.8",1399,1,4,"0","0","0","0","0","0","0"
