"chr","strand","gene_ID","transcript_ID","intron_ID","sj5start","sj5end","sj5_cov_nonsplit","sj5_cov_split","sj3start","sj3end","sj3_cov_nonsplit","sj3_cov_split","score","TC","exon"
"1","+","ENSG00000228794.10","ENST00000445118.7",1,827775,827776,0,24,829002,829003,0,27,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000445118.7",3,852110,852111,0,12,852670,852671,0,14,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000445118.7",4,852766,852767,0,12,853390,853391,0,12,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000670780.1",1,827775,827776,0,24,829002,829003,0,27,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000670780.1",5,852110,852111,0,12,852670,852671,0,14,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000670780.1",6,852766,852767,0,12,853390,853391,0,12,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000666741.1",1,827775,827776,0,24,829002,829003,0,27,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000666741.1",5,852110,852111,0,12,852670,852671,0,14,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000666741.1",6,852766,852767,0,12,853390,853391,0,12,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000608189.5",1,827775,827776,0,24,829002,829003,0,27,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000608189.5",6,852110,852111,0,12,852670,852671,0,14,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000608189.5",7,852766,852767,0,12,853390,853391,0,12,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000609009.6",1,827775,827776,0,24,829002,829003,0,27,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000609009.6",6,852110,852111,0,12,852670,852671,0,14,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000609009.6",7,852766,852767,0,12,853390,853391,0,12,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000657837.1",1,827775,827776,0,24,829002,829003,0,27,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000657837.1",4,852766,852767,0,12,853390,853391,0,12,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000661237.1",1,827775,827776,0,24,829002,829003,0,27,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000661237.1",5,852110,852111,0,12,852670,852671,0,14,1,"0.269230769230769","26"
"1","+","ENSG00000228794.10","ENST00000661237.1",6,852766,852767,0,12,853390,853391,0,12,1,"0.269230769230769","26"
"1","+","ENSG00000224870.7","ENST00000447725.2",1,1399689,1399690,4,8,1399980,1399981,12,0,0.333333333333333,"0.333333333333333","3"
"1","+","ENSG00000224870.7","ENST00000447725.2",2,1400303,1400304,1,20,1400604,1400605,0,21,0.976190476190476,"0.333333333333333","3"
"1","-","ENSG00000268575.1","ENST00000598846.1",4,1721595,1721596,0,20,1719455,1719456,0,20,1,"0.2","5"
"1","-","ENSG00000268575.1","ENST00000598846.1",13,1705641,1705642,0,22,1705025,1705026,0,22,1,"0.2","5"
"1","-","ENSG00000268575.1","ENST00000598846.1",14,1704903,1704904,7,10,1704655,1704656,6,10,0.606060606060606,"0.2","5"
"1","-","ENSG00000268575.1","ENST00000598846.1",15,1704549,1704550,6,15,1704344,1704345,2,15,0.789473684210526,"0.2","5"
"1","-","ENSG00000268575.1","ENST00000598846.1",17,1703823,1703824,3,9,1703624,1703625,2,9,0.782608695652174,"0.2","5"
"1","+","ENSG00000227751.1","ENST00000439577.1",1,17407004,17407005,47,0,17407316,17407317,189,0,0,"0.5","2"
"1","-","ENSG00000228172.5","ENST00000442055.5",3,25817561,25817562,114,0,25816880,25816881,50,0,0,"0.375","8"
"1","-","ENSG00000228172.5","ENST00000453649.1",3,25817561,25817562,114,0,25816880,25816881,50,0,0,"0.375","8"
"1","-","ENSG00000233728.1","ENST00000433474.1",1,37800629,37800630,18,0,37800169,37800170,62,0,0,"0.5","2"
"1","-","ENSG00000273637.1","ENST00000622355.1",3,38873017,38873018,0,73,38867610,38867611,0,70,1,"0.142857142857143","7"
"1","-","ENSG00000273637.1","ENST00000622355.1",4,38867561,38867562,0,49,38867009,38867010,0,48,1,"0.142857142857143","7"
"1","-","ENSG00000273637.1","ENST00000622355.1",5,38866879,38866880,0,45,38864714,38864715,1,45,0.989010989010989,"0.142857142857143","7"
"1","-","ENSG00000273637.1","ENST00000622355.1",7,38856878,38856879,1,87,38855907,38855908,0,87,0.994285714285714,"0.142857142857143","7"
"1","-","ENSG00000273637.1","ENST00000622355.1",8,38855707,38855708,0,46,38852488,38852489,0,45,1,"0.142857142857143","7"
"1","-","ENSG00000273637.1","ENST00000622355.1",9,38852373,38852374,0,38,38851757,38851758,0,38,1,"0.142857142857143","7"
"1","-","ENSG00000273637.1","ENST00000622355.1",10,38851614,38851615,0,44,38846087,38846088,0,44,1,"0.142857142857143","7"
"1","-","ENSG00000273637.1","ENST00000622355.1",11,38845938,38845939,0,61,38839704,38839705,0,61,1,"0.142857142857143","7"
