"Gene","Gene_length","Transcript","Exon","intron_length","exon_length","TPE"
"ENSG00000186092.7",6166,1,3,3549,2618,0.333333333333333
"ENSG00000284733.2",938,1,1,0,939,1
"ENSG00000284662.1",994,1,1,0,995,1
"ENSG00000187634.13",20652,2,17,50658,9490,0.117647058823529
"ENSG00000188976.11",15106,1,19,12297,2757,0.0526315789473684
"ENSG00000187961.14",5135,2,16,5583,4517,0.125
"ENSG00000187583.11",9383,2,20,18573,7825,0.1
"ENSG00000187642.9",6889,2,7,6340,6375,0.285714285714286
"ENSG00000188290.11",1210,3,8,765,2592,0.375
"ENSG00000187608.10",13402,2,4,13023,1424,0.5
"ENSG00000188157.15",35998,2,41,57273,14720,0.0487804878048781
"ENSG00000237330.3",3339,1,2,1440,1900,0.5
"ENSG00000131591.18",34543,4,19,94217,7682,0.210526315789474
"ENSG00000162571.14",24056,2,19,47573,6709,0.105263157894737
"ENSG00000186891.14",3084,4,10,7348,3366,0.4
"ENSG00000186827.11",2813,1,7,1739,1075,0.142857142857143
"ENSG00000078808.19",15158,3,11,39182,6149,0.272727272727273
"ENSG00000176022.7",2804,1,1,0,2805,1
"ENSG00000184163.3",4276,1,8,3234,1036,0.125
"ENSG00000160087.21",19955,5,16,88202,7772,0.3125
"ENSG00000162572.21",11593,4,23,31814,11935,0.173913043478261
"ENSG00000131584.19",17219,2,26,19164,6073,0.0769230769230769
"ENSG00000169972.12",3080,1,8,1824,1257,0.125
"ENSG00000127054.21",13102,7,39,104634,18832,0.179487179487179
"ENSG00000224051.7",4140,1,3,1941,2154,0.333333333333333
"ENSG00000169962.5",4034,1,6,560,3475,0.166666666666667
"ENSG00000107404.20",14142,3,22,33336,8499,0.136363636363636
"ENSG00000162576.17",9088,4,17,17656,9253,0.235294117647059
"ENSG00000175756.13",1765,4,9,2277,3792,0.444444444444444
"ENSG00000221978.12",13624,3,20,18941,6155,0.15
"ENSG00000242485.6",5384,2,6,5818,1749,0.333333333333333
"ENSG00000235098.9",3349,5,11,5553,8014,0.454545454545455
"ENSG00000205116.4",4384,1,2,1168,3217,0.5
"ENSG00000179403.12",8021,2,6,5797,6639,0.333333333333333
"ENSG00000215915.10",20474,1,12,16611,3864,0.0833333333333333
"ENSG00000160072.20",26083,2,20,44290,6212,0.1
"ENSG00000197785.14",22523,3,19,59768,7423,0.157894736842105
"ENSG00000205090.9",5846,3,9,9495,2894,0.333333333333333
"ENSG00000160075.12",33190,2,7,41468,5460,0.285714285714286
"ENSG00000228594.4",2123,1,1,0,2124,1
"ENSG00000197530.13",15151,4,26,80508,21956,0.153846153846154
"ENSG00000189409.14",3100,2,10,2401,2557,0.2
"ENSG00000248333.9",23787,3,36,124660,15646,0.0833333333333333
"ENSG00000189339.12",33266,3,14,81226,14538,0.214285714285714
"ENSG00000008128.23",21978,4,28,110975,15389,0.142857142857143
"ENSG00000008130.15",29225,3,18,73650,9986,0.166666666666667
"ENSG00000078369.18",105832,2,14,308112,9356,0.142857142857143
"ENSG00000169885.10",2188,1,6,1367,670,0.166666666666667
"ENSG00000178821.13",1689,2,7,844,2053,0.285714285714286
"ENSG00000142609.19",81886,2,41,153145,10572,0.0487804878048781
"ENSG00000187730.9",11429,4,17,37765,6937,0.235294117647059
"ENSG00000067606.17",134984,1,15,109635,2294,0.0666666666666667
"ENSG00000162585.17",28259,2,6,13400,2140,0.333333333333333
"ENSG00000157933.10",81894,1,7,75812,6083,0.142857142857143
"ENSG00000116151.14",70454,2,16,103690,3145,0.125
"ENSG00000157916.20",13667,5,16,48413,10423,0.3125
"ENSG00000157911.11",9833,3,10,17214,7681,0.3
"ENSG00000149527.18",79552,3,29,81366,15157,0.103448275862069
"ENSG00000157881.16",18060,1,21,30955,5165,0.0476190476190476
"ENSG00000197921.6",1518,1,3,195,1324,0.333333333333333
"ENSG00000157873.18",9743,2,11,10358,2598,0.181818181818182
"ENSG00000157870.17",4978,5,17,11845,14789,0.294117647058824
"ENSG00000142606.16",42377,2,27,76125,4822,0.0740740740740741
"ENSG00000215912.12",165741,2,11,303451,10589,0.181818181818182
"ENSG00000169717.7",1436,1,1,0,1437,1
"ENSG00000142611.17",369453,4,24,1443288,22663,0.166666666666667
"ENSG00000130762.15",26448,3,17,48449,7252,0.176470588235294
"ENSG00000162591.16",123557,2,40,153143,11944,0.05
"ENSG00000158109.15",5112,2,6,5601,4590,0.333333333333333
"ENSG00000116213.16",21994,2,14,34936,3690,0.142857142857143
"ENSG00000078900.15",83685,8,23,646290,36312,0.347826086956522
"ENSG00000162592.10",25185,1,12,17071,2125,0.0833333333333333
"ENSG00000235169.11",3233,3,8,7742,1562,0.375
"ENSG00000130764.10",17939,1,7,13637,4303,0.142857142857143
"ENSG00000116198.14",45310,8,36,413741,58736,0.222222222222222
"ENSG00000169598.17",28162,3,12,52745,6587,0.25
"ENSG00000198912.12",11168,3,9,27997,4724,0.333333333333333
"ENSG00000196581.11",137925,2,8,246504,14485,0.25
"ENSG00000131697.18",129662,2,33,234625,7959,0.0606060606060606
"ENSG00000069424.15",110266,21,58,1500701,54438,0.362068965517241
"ENSG00000116254.18",78534,1,42,68685,9850,0.0238095238095238
"ENSG00000285629.1",38327,1,4,37665,663,0.25
"ENSG00000116251.11",24369,2,5,25957,2847,0.4
"ENSG00000158286.13",15824,1,18,11200,3981,0.0555555555555556
"ENSG00000116237.16",14779,1,5,9977,4795,0.2
"ENSG00000173673.8",1399,1,4,690,710,0.25
"ENSG00000158292.7",13745,1,6,9548,4198,0.166666666666667
"ENSG00000097021.20",129498,6,16,691259,9872,0.375
"ENSG00000069812.11",12252,5,13,18719,7689,0.384615384615385
"ENSG00000187017.17",36591,4,22,81815,10951,0.181818181818182
"ENSG00000215788.11",5389,4,17,17868,6865,0.235294117647059
"ENSG00000171680.23",52952,13,39,301683,46966,0.333333333333333
"ENSG00000162408.11",33166,1,12,26540,6627,0.0833333333333333
"ENSG00000173662.21",24448,2,8,44132,4635,0.25
"ENSG00000204859.13",9286,1,11,6940,2347,0.0909090909090909
"ENSG00000162413.16",23883,5,12,62199,14600,0.416666666666667
"ENSG00000116273.6",10299,1,4,6668,3632,0.25
"ENSG00000041988.15",10720,3,12,22818,4465,0.25
"ENSG00000007923.16",67756,2,18,129048,5411,0.111111111111111
"ENSG00000171735.19",984252,5,32,1270624,10627,0.15625
"ENSG00000049245.13",10136,2,7,14105,3132,0.285714285714286
"ENSG00000049246.15",60886,4,32,235826,26671,0.125
"ENSG00000049247.14",10429,3,12,18938,2612,0.25
"ENSG00000049249.9",27294,2,11,40399,11842,0.181818181818182
"ENSG00000116288.13",31214,5,14,112920,4770,0.357142857142857
"ENSG00000116285.13",21905,4,10,44560,6668,0.4
"ENSG00000162426.16",26053,2,11,40993,4897,0.181818181818182
"ENSG00000142599.19",496524,6,34,1823016,33329,0.176470588235294
"ENSG00000074800.16",18190,2,15,31812,3563,0.133333333333333
"ENSG00000131686.15",29225,4,13,88855,4516,0.307692307692308
"ENSG00000197241.4",23450,1,12,21507,1944,0.0833333333333333
"ENSG00000142583.18",53372,2,14,57626,6429,0.142857142857143
"ENSG00000180758.12",28797,1,4,23601,5197,0.25
"ENSG00000049239.13",36563,2,7,49882,14737,0.285714285714286
"ENSG00000171621.14",76638,3,7,99389,5552,0.428571428571429
"ENSG00000171612.7",45708,1,7,41844,3865,0.142857142857143
"ENSG00000188807.13",25966,2,13,34334,7666,0.153846153846154
"ENSG00000171608.16",77383,4,34,242826,23389,0.117647058823529
"ENSG00000171603.18",95058,2,21,180590,9407,0.0952380952380952
"ENSG00000178585.15",62060,4,12,187013,5515,0.333333333333333
"ENSG00000162441.12",21294,3,12,35964,7339,0.25
"ENSG00000173614.14",42073,2,7,75535,4828,0.285714285714286
"ENSG00000162444.12",18815,1,4,18169,625,0.25
"ENSG00000130939.20",148407,4,33,465937,18134,0.121212121212121
"ENSG00000054523.19",171033,7,59,1062078,67983,0.11864406779661
"ENSG00000142657.21",21919,1,13,19180,2268,0.0769230769230769
"ENSG00000251503.8",22051,5,13,101421,4486,0.384615384615385
"ENSG00000175279.22",12375,2,4,22267,1489,0.5
"ENSG00000241563.4",1967,1,2,1054,914,0.5
