"chr","strand","gene_ID","transcript_ID","intron_ID","sj5start","sj5end","sj5_cov_nonsplit","sj5_cov_split","sj3start","sj3end","sj3_cov_nonsplit","sj3_cov_split","score","TC","exon"
"1","-","ENSMUSG00000098234","ENSMUST00000182580",3,9942322,9942323,17,87,9942155,9942156,0,74,0.904494382022472,"0.333333333333333","6"
"1","-","ENSMUSG00000098234","ENSMUST00000182819",2,9942322,9942323,17,87,9942155,9942156,0,74,0.904494382022472,"0.333333333333333","6"
"1","-","ENSMUSG00000104523","ENSMUST00000192656",1,36106057,36106058,87,0,36105441,36105442,80,0,0,"0.5","2"
"1","+","ENSMUSG00000102202","ENSMUST00000193983",1,36132321,36132322,5,7,36132886,36132887,3,17,0.75,"0.25","4"
"1","-","ENSMUSG00000101104","ENSMUST00000148542",1,44109993,44109994,1,59,44107872,44107873,1,59,0.983333333333333,"0.2","5"
"1","-","ENSMUSG00000101104","ENSMUST00000148542",2,44107764,44107765,0,42,44107104,44107105,0,42,1,"0.2","5"
"1","+","ENSMUSG00000101628","ENSMUST00000185516",15,52122721,52122722,0,20,52123113,52123114,1,20,0.975609756097561,"0.04","25"
"1","+","ENSMUSG00000101628","ENSMUST00000185516",17,52126618,52126619,0,13,52132543,52132544,0,14,1,"0.04","25"
"1","+","ENSMUSG00000101628","ENSMUST00000185516",18,52132633,52132634,0,24,52135602,52135603,0,24,1,"0.04","25"
"1","+","ENSMUSG00000101628","ENSMUST00000185516",20,52136970,52136971,0,11,52137278,52137279,0,11,1,"0.04","25"
"1","+","ENSMUSG00000101628","ENSMUST00000185516",21,52137430,52137431,0,17,52139193,52139194,0,17,1,"0.04","25"
"1","+","ENSMUSG00000101628","ENSMUST00000185516",23,52142960,52142961,0,17,52144085,52144086,0,15,1,"0.04","25"
"1","+","ENSMUSG00000101628","ENSMUST00000185516",25,52144297,52144298,0,16,52145149,52145150,0,16,1,"0.04","25"
"1","+","ENSMUSG00000101628","ENSMUST00000185516",27,52147999,52148000,0,21,52148902,52148903,2,21,0.954545454545455,"0.04","25"
"1","+","ENSMUSG00000101628","ENSMUST00000185516",30,52151332,52151333,0,16,52152232,52152233,0,16,1,"0.04","25"
"1","+","ENSMUSG00000101628","ENSMUST00000185516",31,52152378,52152379,1,32,52153843,52153844,1,32,0.96969696969697,"0.04","25"
"1","+","ENSMUSG00000101628","ENSMUST00000185516",32,52154029,52154030,0,16,52154985,52154986,0,17,1,"0.04","25"
"1","-","ENSMUSG00000097519","ENSMUST00000181949",2,57375247,57375248,0,11,57362763,57362764,0,10,1,"0.25","4"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",1,75185052,75185053,0,31,75184867,75184868,0,31,1,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",2,75184688,75184689,0,17,75184573,75184574,9,17,0.790697674418605,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",3,75184455,75184456,0,23,75183116,75183117,0,23,1,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",4,75182893,75182894,0,28,75182737,75182738,0,28,1,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",5,75182591,75182592,1,20,75181931,75181932,0,20,0.975609756097561,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",6,75179569,75179570,4,89,75179068,75179069,6,91,0.947368421052632,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",7,75178930,75178931,0,149,75178102,75178103,2,149,0.993333333333333,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",8,75177664,75177665,5,177,75177486,75177487,4,177,0.975206611570248,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",9,75177302,75177303,2,321,75176211,75176212,8,321,0.984662576687117,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",10,75176089,75176090,0,146,75175617,75175618,2,146,0.993197278911565,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",11,75175507,75175508,5,162,75175038,75175039,1,164,0.981927710843373,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",12,75174972,75174973,1,180,75174827,75174828,0,177,0.997206703910615,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",13,75174701,75174702,2,89,75174554,75174555,1,89,0.983425414364641,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",14,75174477,75174478,3,73,75174389,75174390,3,73,0.960526315789474,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",15,75174325,75174326,2,105,75174224,75174225,5,105,0.967741935483871,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",16,75174138,75174139,3,139,75173919,75173920,3,143,0.979166666666667,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",17,75173861,75173862,2,171,75173649,75173650,1,137,0.990353697749196,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",19,75172554,75172555,14,301,75172360,75172361,2,307,0.974358974358974,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",20,75172265,75172266,0,165,75172182,75172183,3,163,0.990936555891239,"0.125","8"
"1","-","ENSMUSG00000099519","ENSMUST00000185727",21,75172113,75172114,2,147,75171988,75171989,4,149,0.980132450331126,"0.125","8"
"1","-","ENSMUSG00000099556","ENSMUST00000188068",1,130740979,130740980,5,15,130740238,130740239,1,16,0.837837837837838,"0.5","2"
"1","+","ENSMUSG00000100658","ENSMUST00000189288",1,132342067,132342068,0,19,132342310,132342311,0,31,1,"0.333333333333333","3"
"1","+","ENSMUSG00000100658","ENSMUST00000189288",2,132342401,132342402,4,27,132344315,132344316,0,11,0.904761904761905,"0.333333333333333","3"
"1","-","ENSMUSG00000073538","ENSMUST00000188717",3,153407601,153407602,3,28,153406601,153406602,6,28,0.861538461538462,"0.333333333333333","6"
"1","+","ENSMUSG00000053332","ENSMUST00000161005",4,161036244,161036245,363,673,161036548,161036549,214,762,0.713220675944334,"0.277777777777778","18"
"1","+","ENSMUSG00000053332","ENSMUST00000159119",4,161036244,161036245,363,673,161036548,161036549,214,762,0.713220675944334,"0.277777777777778","18"
"1","+","ENSMUSG00000053332","ENSMUST00000159706",4,161036244,161036245,363,673,161036548,161036549,214,762,0.713220675944334,"0.277777777777778","18"
"1","+","ENSMUSG00000053332","ENSMUST00000162558",4,161036244,161036245,363,673,161036548,161036549,214,762,0.713220675944334,"0.277777777777778","18"
"1","+","ENSMUSG00000053332","ENSMUST00000162558",7,161037164,161037165,79,153,161037287,161037288,56,749,0.869816779170685,"0.277777777777778","18"
"1","+","ENSMUSG00000053332","ENSMUST00000159663",4,161036244,161036245,363,673,161036548,161036549,214,762,0.713220675944334,"0.277777777777778","18"
"2","+","ENSMUSG00000085767","ENSMUST00000125518",2,26385630,26385631,16,2,26386924,26386925,37,4,0.101694915254237,"0.25","8"
"2","+","ENSMUSG00000085767","ENSMUST00000125518",3,26387089,26387090,161,1,26387197,26387198,86,0,0.00403225806451613,"0.25","8"
"2","+","ENSMUSG00000063714","ENSMUST00000123087",2,72987632,72987633,0,14,72988371,72988372,3,9,0.884615384615385,"0.4","5"
"2","+","ENSMUSG00000063714","ENSMUST00000137941",1,72987632,72987633,0,14,72988371,72988372,3,9,0.884615384615385,"0.4","5"
"2","+","ENSMUSG00000085438","ENSMUST00000153581",1,119594434,119594435,2,117,119596258,119596259,14,117,0.936,"0.333333333333333","3"
"2","+","ENSMUSG00000085438","ENSMUST00000153581",2,119596511,119596512,2,60,119599587,119599588,2,90,0.974025974025974,"0.333333333333333","3"
"2","-","ENSMUSG00000087179","ENSMUST00000137463",1,156839534,156839535,2,11,156838536,156838537,1,21,0.914285714285714,"0.25","4"
"2","-","ENSMUSG00000087179","ENSMUST00000137463",2,156838417,156838418,0,28,156837913,156837914,0,29,1,"0.25","4"
"2","-","ENSMUSG00000087179","ENSMUST00000137463",3,156837822,156837823,0,23,156833426,156833427,5,14,0.880952380952381,"0.25","4"
"2","-","ENSMUSG00000085385","ENSMUST00000141809",1,158361404,158361405,20,88,158361196,158361197,13,19,0.764285714285714,"0.333333333333333","21"
"2","-","ENSMUSG00000085385","ENSMUST00000152125",5,158358204,158358205,21,26,158357263,158357264,16,60,0.699186991869919,"0.333333333333333","21"
