"Gene","Gene_length","Transcript","Exon","intron_length","exon_length","TPE"
"ENSMUSG00000051951.6",465597,1,3,453383,3634,0.333333333333333
"ENSMUSG00000025900.14",409684,2,32,414815,11039,0.0625
"ENSMUSG00000025902.14",6423,4,13,11749,9858,0.307692307692308
"ENSMUSG00000033845.14",12533,3,8,21887,7666,0.375
"ENSMUSG00000025903.15",40622,4,17,142252,4843,0.235294117647059
"ENSMUSG00000104217.2",78878,1,4,78054,825,0.25
"ENSMUSG00000033813.16",40095,2,10,74563,5401,0.2
"ENSMUSG00000002459.18",160709,3,9,374222,4786,0.333333333333333
"ENSMUSG00000033793.13",92511,3,18,245517,5522,0.166666666666667
"ENSMUSG00000025905.15",17665,3,9,51455,13207,0.333333333333333
"ENSMUSG00000033774.5",3691,1,1,0,3692,1
"ENSMUSG00000025907.15",70451,1,24,54397,7607,0.0416666666666667
"ENSMUSG00000087247.4",35513,1,5,34543,971,0.2
"ENSMUSG00000033740.18",373709,6,33,1228777,30875,0.181818181818182
"ENSMUSG00000051285.18",84708,1,6,79477,5232,0.166666666666667
"ENSMUSG00000025909.17",938404,4,26,3237609,15116,0.153846153846154
"ENSMUSG00000061024.9",2047,1,1,0,2048,1
"ENSMUSG00000025911.15",32725,1,14,26784,3239,0.0714285714285714
"ENSMUSG00000067879.4",25944,1,6,22689,3256,0.166666666666667
"ENSMUSG00000025912.17",32794,2,18,55810,7473,0.111111111111111
"ENSMUSG00000045210.9",29760,1,3,20012,9749,0.333333333333333
"ENSMUSG00000025915.15",102738,4,23,295576,13893,0.173913043478261
"ENSMUSG00000046101.17",33447,5,26,108656,12703,0.192307692307692
"ENSMUSG00000099032.3",7769,2,3,3577,6832,0.666666666666667
"ENSMUSG00000025916.11",40512,1,9,39088,1425,0.111111111111111
"ENSMUSG00000025917.10",13567,1,8,11829,1698,0.125
"ENSMUSG00000056763.17",98781,6,41,286124,15021,0.146341463414634
"ENSMUSG00000067851.12",95099,2,39,144294,10402,0.0512820512820513
"ENSMUSG00000042501.13",395225,1,11,393287,1932,0.0909090909090909
"ENSMUSG00000048960.14",310216,1,40,299164,11053,0.025
"ENSMUSG00000057715.14",561796,4,20,2039535,19100,0.2
"ENSMUSG00000016918.16",168915,4,28,619345,19427,0.142857142857143
"ENSMUSG00000025938.17",126101,5,17,672684,32837,0.294117647058824
"ENSMUSG00000042414.8",13706,1,8,11143,2564,0.125
"ENSMUSG00000005886.15",234978,3,26,678795,21074,0.115384615384615
"ENSMUSG00000025935.11",25212,1,11,22275,2938,0.0909090909090909
"ENSMUSG00000025937.7",37216,1,7,32723,4494,0.142857142857143
"ENSMUSG00000067813.4",32952,1,4,31027,1926,0.25
"ENSMUSG00000025932.15",141281,4,26,542569,14338,0.153846153846154
"ENSMUSG00000025930.7",2646,1,2,904,1741,0.5
"ENSMUSG00000032769.6",46214,2,29,83994,7551,0.0689655172413793
"ENSMUSG00000092083.5",436496,2,5,817786,18808,0.4
"ENSMUSG00000025925.15",38406,2,12,72365,3849,0.166666666666667
"ENSMUSG00000032719.5",38860,1,5,36113,2748,0.2
"ENSMUSG00000067795.14",27346,2,7,66215,3713,0.285714285714286
"ENSMUSG00000043716.14",3367,1,7,2205,1163,0.142857142857143
"ENSMUSG00000025921.8",27960,1,6,24374,3587,0.166666666666667
"ENSMUSG00000025920.20",291438,13,38,2476170,33110,0.342105263157895
"ENSMUSG00000025939.20",78699,2,10,124542,3689,0.2
"ENSMUSG00000079658.10",15317,5,14,65930,4977,0.357142857142857
"ENSMUSG00000025940.7",13068,2,6,22709,3346,0.333333333333333
"ENSMUSG00000025779.11",21560,2,8,41148,1061,0.25
"ENSMUSG00000042686.6",133329,1,5,98143,4809,0.2
"ENSMUSG00000025777.9",18909,1,6,14961,3949,0.166666666666667
"ENSMUSG00000067780.4",29038,1,6,22116,6923,0.166666666666667
"ENSMUSG00000025776.14",39299,2,17,70199,7589,0.117647058823529
"ENSMUSG00000025774.15",30711,3,12,79472,3391,0.25
"ENSMUSG00000073735.2",970,1,2,713,258,0.5
"ENSMUSG00000067773.7",14158,2,4,18051,665,0.5
"ENSMUSG00000042596.8",63324,1,8,61564,1761,0.125
"ENSMUSG00000025927.14",29662,3,12,70526,10832,0.25
"ENSMUSG00000043760.17",560285,1,67,547351,12935,0.0149253731343284
"ENSMUSG00000025929.5",3591,1,3,2421,1171,0.333333333333333
"ENSMUSG00000041872.10",13471,1,3,5947,1178,0.333333333333333
"ENSMUSG00000041859.11",17344,1,17,14314,3031,0.0588235294117647
"ENSMUSG00000025931.16",49044,4,9,88666,12969,0.444444444444444
"ENSMUSG00000041809.6",39215,1,11,37008,2146,0.0909090909090909
"ENSMUSG00000041779.6",82930,1,11,76439,6492,0.0909090909090909
"ENSMUSG00000025933.16",11592,2,7,20667,2429,0.285714285714286
"ENSMUSG00000025934.16",25072,2,10,47137,2351,0.2
"ENSMUSG00000067750.4",2559,1,3,573,1987,0.333333333333333
"ENSMUSG00000041722.8",2514,1,3,569,1946,0.333333333333333
"ENSMUSG00000085079.4",2817,1,3,582,2236,0.333333333333333
"ENSMUSG00000028033.17",563539,3,18,2226768,18784,0.166666666666667
"ENSMUSG00000041670.20",488728,4,38,1952034,28408,0.105263157894737
"ENSMUSG00000073730.3",1780,1,1,0,1781,1
"ENSMUSG00000026158.12",31348,1,7,11908,4844,0.142857142857143
"ENSMUSG00000026156.9",87405,3,9,186070,8880,0.333333333333333
"ENSMUSG00000026155.14",77471,2,12,136433,3654,0.166666666666667
"ENSMUSG00000026154.5",9717,1,3,9035,683,0.333333333333333
"ENSMUSG00000026153.16",89248,3,29,250489,15706,0.103448275862069
"ENSMUSG00000026147.17",75074,2,39,125680,6893,0.0512820512820513
"ENSMUSG00000026141.14",325582,2,53,623519,7602,0.0377358490566038
"ENSMUSG00000073725.9",87671,3,20,192218,10369,0.15
"ENSMUSG00000033569.18",762231,4,37,2425662,18892,0.108108108108108
"ENSMUSG00000073722.4",5646,1,2,1329,4318,0.5
"ENSMUSG00000048411.5",4135,1,2,1249,2887,0.5
"ENSMUSG00000048874.16",71582,2,18,117030,15128,0.111111111111111
"ENSMUSG00000026064.17",9007,1,6,4772,4236,0.166666666666667
"ENSMUSG00000117310.3",9468,4,7,15975,11233,0.571428571428571
"ENSMUSG00000117091.2",725,1,1,0,726,1
"ENSMUSG00000086727.9",224842,3,11,446900,4645,0.272727272727273
"ENSMUSG00000050217.14",28324,1,5,26388,1937,0.2
"ENSMUSG00000026063.5",1450,1,1,0,1451,1
"ENSMUSG00000026058.12",485854,4,15,852455,11361,0.266666666666667
"ENSMUSG00000091318.3",3608,1,1,0,3609,1
"ENSMUSG00000026134.12",215985,1,14,214011,1975,0.0714285714285714
"ENSMUSG00000004768.15",22677,2,10,36285,8540,0.2
"ENSMUSG00000042215.9",12311,2,5,21014,2238,0.4
"ENSMUSG00000042197.14",53050,2,17,59584,15834,0.117647058823529
"ENSMUSG00000042182.17",55764,3,9,160754,6468,0.333333333333333
"ENSMUSG00000026131.21",400436,8,117,1606368,117418,0.0683760683760684
"ENSMUSG00000042111.10",3002,1,5,1298,1705,0.2
"ENSMUSG00000026127.14",9505,1,9,3670,5836,0.111111111111111
"ENSMUSG00000026126.16",15971,2,17,15061,1973,0.117647058823529
"ENSMUSG00000026125.10",4653,1,5,3387,1267,0.2
"ENSMUSG00000026124.5",8665,1,6,7626,1040,0.166666666666667
"ENSMUSG00000037529.14",16975,1,5,7312,1275,0.2
"ENSMUSG00000045174.11",11287,1,2,6896,4392,0.5
"ENSMUSG00000037509.22",135121,2,16,136357,9801,0.125
"ENSMUSG00000118272.2",170,1,1,0,171,1
"ENSMUSG00000037503.13",29846,4,15,98555,11873,0.266666666666667
"ENSMUSG00000026123.12",29604,2,10,45115,8455,0.2
"ENSMUSG00000045216.8",38046,1,2,34328,3719,0.5
"ENSMUSG00000037470.15",104693,1,41,95246,9033,0.024390243902439
"ENSMUSG00000047180.9",10082,2,8,10854,3804,0.25
"ENSMUSG00000037447.17",16296,5,15,53080,19745,0.333333333333333
"ENSMUSG00000010453.13",33451,4,29,87409,12327,0.137931034482759
"ENSMUSG00000037432.16",49819,1,53,43502,6315,0.0188679245283019
"ENSMUSG00000001143.14",25400,2,10,39625,5668,0.2
"ENSMUSG00000037408.11",37144,1,7,32598,4547,0.142857142857143
"ENSMUSG00000001138.14",16370,1,9,22257,10485,0.111111111111111
"ENSMUSG00000067653.13",6695,3,12,10640,5314,0.25
"ENSMUSG00000109510.2",9236,1,3,6910,2256,0.333333333333333
"ENSMUSG00000079610.10",9938,2,7,14451,2773,0.285714285714286
"ENSMUSG00000026121.14",9710,4,20,22136,15084,0.2
"ENSMUSG00000046337.18",120491,2,16,199755,3945,0.125
"ENSMUSG00000061518.12",2232,2,7,2646,1490,0.285714285714286
"ENSMUSG00000037351.10",16308,1,11,8647,3248,0.0909090909090909
"ENSMUSG00000102416.5",47804,1,9,42296,1120,0.111111111111111
"ENSMUSG00000026117.11",21020,1,13,18776,2245,0.0769230769230769
"ENSMUSG00000026116.12",151475,2,44,281722,13244,0.0454545454545455
"ENSMUSG00000050122.20",161017,5,40,326474,10981,0.125
"ENSMUSG00000026114.15",48950,2,9,123958,7834,0.222222222222222
"ENSMUSG00000026113.18",110871,10,47,647945,32323,0.212765957446809
"ENSMUSG00000026112.8",13019,1,3,9157,3863,0.333333333333333
"ENSMUSG00000026111.16",8985,3,10,22900,3687,0.3
"ENSMUSG00000026110.16",101676,4,21,324194,18879,0.19047619047619
"ENSMUSG00000026090.17",108408,1,10,103775,4634,0.1
"ENSMUSG00000060771.16",111653,7,29,488090,21263,0.241379310344828
"ENSMUSG00000037216.6",4490,1,2,2538,1485,0.5
"ENSMUSG00000026088.16",15610,2,10,24725,2406,0.2
"ENSMUSG00000026087.12",8058,3,10,18078,2218,0.3
"ENSMUSG00000061584.7",10570,1,6,8007,2564,0.166666666666667
"ENSMUSG00000026085.12",11023,2,9,20448,1598,0.222222222222222
"ENSMUSG00000058407.13",12704,5,13,40189,10468,0.384615384615385
"ENSMUSG00000026083.13",57569,1,24,49773,7797,0.0416666666666667
"ENSMUSG00000026082.12",77015,1,23,72615,4262,0.0434782608695652
"ENSMUSG00000037138.19",487629,3,28,1369550,17815,0.107142857142857
"ENSMUSG00000048814.12",43066,2,14,57765,12009,0.142857142857143
"ENSMUSG00000026080.15",34294,3,11,91682,10970,0.272727272727273
"ENSMUSG00000067604.9",11127,1,10,10127,1001,0.1
"ENSMUSG00000026078.11",11630,1,6,7717,3914,0.166666666666667
"ENSMUSG00000026077.16",169505,1,21,164789,4236,0.0476190476190476
"ENSMUSG00000073702.12",4069,5,13,14425,3225,0.384615384615385
"ENSMUSG00000003134.11",107263,2,22,204686,7963,0.0909090909090909
"ENSMUSG00000003135.16",11897,2,10,16326,6644,0.2
"ENSMUSG00000048234.14",26109,2,9,35440,2881,0.222222222222222
"ENSMUSG00000050967.6",33068,1,4,26978,6091,0.25
"ENSMUSG00000057173.9",55696,1,15,53689,2008,0.0666666666666667
"ENSMUSG00000091937.4",1184,1,2,833,352,0.5
"ENSMUSG00000026074.16",125397,5,43,838113,30852,0.116279069767442
"ENSMUSG00000026073.14",51152,1,9,39115,1419,0.111111111111111
"ENSMUSG00000026072.13",92177,2,13,131143,10651,0.153846153846154
"ENSMUSG00000070942.9",42952,2,13,77860,5858,0.153846153846154
"ENSMUSG00000026069.16",35845,4,16,61853,14232,0.25
"ENSMUSG00000026070.16",35302,6,22,166923,15143,0.272727272727273
"ENSMUSG00000026068.12",36343,1,13,31455,4889,0.0769230769230769
"ENSMUSG00000026065.9",50644,1,12,46683,3962,0.0833333333333333
"ENSMUSG00000026062.13",88699,2,14,127259,7526,0.142857142857143
"ENSMUSG00000041945.13",18649,1,6,15466,3160,0.166666666666667
"ENSMUSG00000079588.4",51286,1,5,48571,2716,0.2
"ENSMUSG00000045515.5",8251,2,5,922,14739,0.4
"ENSMUSG00000060679.15",54450,1,11,53032,1418,0.0909090909090909
"ENSMUSG00000041907.10",82584,2,3,78718,5322,0.666666666666667
"ENSMUSG00000070939.10",51437,2,15,85941,10992,0.133333333333333
"ENSMUSG00000010290.8",17237,1,4,13780,3458,0.25
"ENSMUSG00000008136.15",73910,2,8,111599,2984,0.25
"ENSMUSG00000066877.12",125936,1,5,121993,2772,0.2
"ENSMUSG00000026051.9",11976,1,4,11075,902,0.25
"ENSMUSG00000057363.13",80834,1,15,76215,4620,0.0666666666666667
"ENSMUSG00000041763.15",69353,2,32,128671,9280,0.0625
"ENSMUSG00000047343.5",10626,1,5,9513,1086,0.2
"ENSMUSG00000091844.3",23874,2,5,3839,26021,0.4
"ENSMUSG00000026049.12",15828,7,21,100670,7970,0.333333333333333
"ENSMUSG00000026047.14",12262,2,11,20018,4124,0.181818181818182
"ENSMUSG00000041684.12",25813,2,13,43269,6883,0.153846153846154
"ENSMUSG00000026048.17",33516,1,15,29507,3907,0.0666666666666667
"ENSMUSG00000046828.4",14891,1,5,11681,3211,0.2
"ENSMUSG00000056870.10",245327,3,16,582857,7335,0.1875
"ENSMUSG00000026043.19",38168,1,51,32605,5564,0.0196078431372549
"ENSMUSG00000026042.17",128961,1,54,122337,6625,0.0185185185185185
"ENSMUSG00000025995.17",28453,1,21,25501,2953,0.0476190476190476
"ENSMUSG00000025993.11",18455,1,8,14145,3370,0.125
"ENSMUSG00000041144.13",307235,2,68,588870,24637,0.0294117647058824
"ENSMUSG00000101337.7",381884,2,67,386217,12819,0.0298507462686567
"ENSMUSG00000025986.7",85308,1,10,41005,5498,0.1
"ENSMUSG00000026109.15",286623,2,17,323650,6061,0.117647058823529
"ENSMUSG00000045954.8",13834,1,2,10780,3055,0.5
"ENSMUSG00000026107.12",12563,5,14,31728,7875,0.357142857142857
"ENSMUSG00000018417.15",166306,4,37,636477,19053,0.108108108108108
"ENSMUSG00000062939.12",120041,2,27,213340,5644,0.0740740740740741
"ENSMUSG00000026104.15",42425,6,18,211098,21615,0.333333333333333
"ENSMUSG00000026103.15",69784,3,22,172657,12604,0.136363636363636
"ENSMUSG00000002881.15",43385,3,13,109027,8885,0.230769230769231
"ENSMUSG00000043015.16",21216,1,9,17821,3396,0.111111111111111
"ENSMUSG00000041439.16",71176,2,8,130229,8425,0.25
"ENSMUSG00000026102.10",32261,1,6,26495,5767,0.166666666666667
"ENSMUSG00000041426.13",76057,2,16,148376,3534,0.125
"ENSMUSG00000043629.13",97855,7,14,365828,13441,0.5
"ENSMUSG00000026100.7",6439,2,6,7663,5166,0.333333333333333
"ENSMUSG00000060715.10",29059,2,12,56697,1372,0.166666666666667
"ENSMUSG00000026098.14",107831,1,13,104778,3054,0.0769230769230769
