"Gene","Gene_length","Transcript","Exon","A3","A5","AF","AL","MX","RI","SE"
"ENSMUSG00000051951.6",465597,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000025900.14",409684,2,32,"0","0","0","0","0","0","0"
"ENSMUSG00000025902.14",6423,4,13,"0","0","0","0","0","0","2"
"ENSMUSG00000033845.14",12533,3,8,"0","0","0","0","0","0","0"
"ENSMUSG00000025903.15",40622,4,17,"0","0","0","1","0","0","0"
"ENSMUSG00000104217.2",78878,1,4,"0","0","0","0","0","0","0"
"ENSMUSG00000033813.16",40095,2,10,"0","0","0","0","0","0","0"
"ENSMUSG00000002459.18",160709,3,9,"0","0","0","0","0","0","0"
"ENSMUSG00000033793.13",92511,3,18,"0","0","0","0","0","0","1"
"ENSMUSG00000025905.15",17665,3,9,"1","0","0","0","0","0","1"
"ENSMUSG00000033774.5",3691,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000025907.15",70451,1,24,"0","0","0","0","0","0","0"
"ENSMUSG00000087247.4",35513,1,5,"0","0","0","0","0","0","0"
"ENSMUSG00000033740.18",373709,6,33,"0","0","2","2","0","0","0"
"ENSMUSG00000051285.18",84708,1,6,"0","0","0","0","0","0","0"
"ENSMUSG00000025909.17",938404,4,26,"0","0","0","1","0","0","0"
"ENSMUSG00000061024.9",2047,1,1,"0","0","0","0","0","0","0"
"ENSMUSG00000025911.15",32725,1,14,"0","0","0","0","0","0","0"
"ENSMUSG00000067879.4",25944,1,6,"0","0","0","0","0","0","0"
"ENSMUSG00000025912.17",32794,2,18,"0","0","0","0","0","0","0"
"ENSMUSG00000045210.9",29760,1,3,"0","0","0","0","0","0","0"
"ENSMUSG00000025915.15",102738,4,23,"0","0","0","0","0","0","0"
"ENSMUSG00000046101.17",33447,5,26,"1","0","0","1","0","0","0"
"ENSMUSG00000099032.3",7769,2,3,"0","0","0","0","0","0","0"
"ENSMUSG00000025916.11",40512,1,9,"0","0","0","0","0","0","0"
"ENSMUSG00000025917.10",13567,1,8,"0","0","0","0","0","0","0"
"ENSMUSG00000056763.17",98781,6,41,"0","1","2","0","0","0","1"
"ENSMUSG00000067851.12",95099,2,39,"0","0","0","0","0","0","0"
"ENSMUSG00000042501.13",395225,1,11,"0","0","0","0","0","0","0"
"ENSMUSG00000048960.14",310216,1,40,"0","0","0","0","0","0","0"
"ENSMUSG00000057715.14",561796,4,20,"0","0","0","0","0","0","0"
